Rank,Company Name,HQ,Industry Group,Mkt. Cap (M),ESG Score
126,London Stock Exchange Group PLC,GB,Investment Banking & Investment Services,"$65,048",72.99
1,Arcelik AS,TR,Household Goods,"$2,306",92.51
2,Delta Electronics Thailand PCL,TH,"Machinery, Tools, Heavy Vehicles, Trains & Ships","$59,307",92.05
3,Lojas Renner SA,BR,Specialty Retailers,"$3,158",91.16
4,Siam Cement PCL,TH,Consumer Goods Conglomerates,"$7,558",90.58
5,Vale SA,BR,Metals & Mining,"$45,559",90.37
6,Banco Santander Brasil SA,BR,Banking Services,"$18,754",90.25
7,Nestle (Malaysia) Bhd,MY,Food & Tobacco,"$4,870",90.08
8,Infosys Ltd,IN,Software & IT Services,"$67,518",89.61
9,Turkiye Is Bankasi AS,TR,Banking Services,"$9,503",89.55
10,Itau Unibanco Holding SA,BR,Banking Services,"$71,281",89.50
11,ENKA Insaat ve Sanayi AS,TR,Construction & Engineering,"$10,798",89.29
12,Haci Omer Sabanci Holding AS,TR,Investment Holding Companies,"$5,106",89.06
13,Mahindra and Mahindra Ltd,IN,Automobiles & Auto Parts,"$44,958",89.04
14,Minor International PCL,TH,Hotels & Entertainment Services,"$4,306",87.84
15,Bank Central Asia Tbk PT,ID,Banking Services,"$66,906",87.44
16,Wipro Ltd,IN,Software & IT Services,"$28,891",87.10
17,Wal Mart de Mexico SAB de CV,MX,Diversified Retail,"$52,661",86.88
18,Cemex SAB de CV,MX,Construction Materials,"$13,151",86.54
19,UEM Sunrise Bhd,MY,Real Estate Operations,$909,85.98
20,Kumba Iron Ore Ltd,ZA,Metals & Mining,"$5,553",85.83
21,Grupo Bimbo SAB de CV,MX,Food & Tobacco,"$12,914",85.74
22,Ayala Land Inc,PH,Real Estate Operations,"$6,946",85.65
23,Turkiye Sinai Kalkinma Bankasi AS,TR,Banking Services,$920,85.50
24,Fibra Uno Administracion SC,MX,Investment Banking & Investment Services,"$5,329",85.42
25,Bumi Resources Tbk PT,ID,Coal,"$2,463",85.20
26,ENGIE Brasil Energia SA,BR,Electric Utilities & IPPs,"$5,926",85.13
27,Coca-Cola Icecek AS,TR,Beverages,"$3,448",85.07
28,Santander Bank Polska SA,PL,Banking Services,"$15,914",85.06
29,Dr Reddy's Laboratories Ltd,IN,Pharmaceuticals,"$11,912",85.05
30,Celsia SA,CO,Electric Utilities & IPPs,"$1,272",84.81
31,Koc Holding AS,TR,Investment Holding Companies,"$11,227",83.94
32,Thai Oil PCL,TH,Oil & Gas,"$2,362",83.62
33,Enerjisa Enerji AS,TR,Electric Utilities & IPPs,"$1,999",83.52
34,CIMB Group Holdings Bhd,MY,Banking Services,"$18,292",83.40
35,Greek Organisation of Football Prognostics SA,GR,Hotels & Entertainment Services,"$8,683",83.02
36,Companhia Paranaense de Energia,BR,Electric Utilities & IPPs,"$6,501",83.00
37,Solidcore Resources plc PK,KZ,Metals & Mining,"$1,438",82.84
38,Malayan Banking Bhd,MY,Banking Services,"$28,174",82.74
39,Cementos Argos SA,CO,Construction Materials,"$3,459",82.61
40,Tim SA,BR,Telecommunications Services,"$9,901",82.41
40,BTS Group Holdings PCL,TH,Passenger Transportation Services,"$1,729",82.41
42,Singha Estate PCL,TH,Real Estate Operations,$116,82.13
43,Vale Indonesia Tbk PT,ID,Metals & Mining,"$2,544",82.07
44,Ford Otomotiv Sanayi AS,TR,Automobiles & Auto Parts,"$9,061",81.92
45,Totvs SA,BR,Software & IT Services,"$4,701",81.24
46,Tata Motors Ltd,IN,Automobiles & Auto Parts,"$27,901",80.98
47,Piraeus Financial Holdings SA,GR,Banking Services,"$10,620",80.90
48,Dexco SA,BR,Paper & Forest Products,$860,80.78
49,Banco Bradesco SA,BR,Banking Services,"$29,377",80.68
50,Aygaz AS,TR,Oil & Gas,$872,80.62
51,National Bank of Greece SA,GR,Banking Services,"$14,137",80.54
52,Tata Consultancy Services Ltd,IN,Software & IT Services,"$125,422",80.49
53,Grupo Financiero Banorte SAB de CV,MX,Banking Services,"$26,106",80.44
54,Ellaktor SA,GR,Construction & Engineering,$547,80.40
55,British American Tobacco (Malaysia) Bhd,MY,Food & Tobacco,$336,80.28
56,AG Anadolu Grubu Holding AS,TR,Investment Holding Companies,"$1,771",80.19
57,Centrais Eletricas Brasileiras SA - Eletrobras,BR,Electric Utilities & IPPs,"$19,397",80.02
58,Fleury SA,BR,Healthcare Providers & Services,"$1,416",79.90
59,PTT PCL,TH,Oil & Gas,"$28,660",79.75
59,Dogan Sirketler Grubu Holding AS,TR,Investment Holding Companies,"$1,165",79.75
