,keywords
0,Transition risks
1,Carbon Dioxide
2,Dual Carbon
3,Low Carbon
4,Natural Gas
5,Solar Energy
6,Hydropower
7,Fossil Fuels
8,Wind Power
9,Wind Energy
10,Physical risks
11,Climate
12,Rain and Snow
13,Freezing
14,Heavy Rainfall
15,Carbon Emissions
16,Carbon Reduction
17,Decarbonization
18,Energy Efficiency
19,Renewable Energy
20,Petroleum
21,Biomass Energy
22,Geothermal Energy
23,Photovoltaic
24,Precipitation
25,Drought Disasters
26,High Temperatures
27,Carbon Peak
28,Carbon Trading
29,Coal-fired Power
30,Coal
31,Energy Reduction
32,Energy Consumption
33,Nuclear Power
34,Drought
35,Floods
36,Drought Conditions
37,Carbon Neutrality
38,Carbon Sink
39,Zero Carbon
40,Green Energy
41,Energy Storage
42,Paris Agreement
43,Clean Energy
44,Temperature
45,Flooding
46,Low Temperatures
47,Ice and Snow
48,Wave Energy
49,Ozone Layer
50,Atmospheric Temperature
51,Air Pollution
52,Electric Vehicle (EV)
53,Waste Gas
54,Wastewater
55,Wind Power Generation
56,Wind Resources
57,Sea Level
58,Nuclear Energy
59,Flooding and Waterlogging
60,Environmental Protection
61,Environmental Sustainability
62,Dust
63,Extreme Weather
64,Emission Reduction
65,Kyoto Protocol
66,Sustainable Energy
67,Air Quality
68,Woodland
69,Green Credit
70,Energy Reserves
71,Energy and Environment
72,Energy Saving
73,Energy and Climate
74,Energy Transition
75,Climate Change
76,Climate System
77,Gas Emissions
78,Clean Atmosphere
79,Clean Water
80,Global Warming
81,Global Decarbonization
82,Thermal Energy
83,Ecosystem
84,Water Resources
85,Solar Thermal Energy
86,Carbon Price
87,Carbon Energy
88,Carbon Market
89,Carbon Tax
90,Weather and Climate
91,Greenhouse Gases (GHGs)
92,Greenhouse Gas Emissions
93,Pollution Prevention
94,New Energy
95,Flue Gas
96,Coastal Areas
97,Natural Disaster
98,Hailstorm
99,Heavy Snowfall
100,Storm
101,Storm Damage
102,Sea Level Rise
103,Sea Water Rise
104,Tsunami
105,Severe Winter
106,Environmental Destruction
107,Extreme Heat
108,Extreme Cold
109,Snowfall
110,Rainfall
111,Hurricane
112,Intense Heat
113,Tornado
114,Drainage
115,Climate Emergency
116,Climate Disaster
117,Heat Wave
118,Weather Event
119,Temperature Rise
120,Warm Climate
121,Cyclone
122,Coldest
123,Warmest
124,Wave Power Generation
125,Plug-in Hybrid Electric Vehicle (PHEV)
126,Environmental Standards
127,Environmental Policy
