path_to_file,year,company_name,Identifier,ClimateRiskScore,Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
Dương/10. VHM/VHM 2019,2019,Vinhomes JSC,VHM.HM,0.0,669.0,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2019.0,1.8115105,0.0,9.9300525,0.1343807,0.6162858,0.8612205,0.0229376,0.0534578,423672996.417936,0.1144981,0.3057013,0.1462032,33.6354904,1049549005.22204,0.0,0.0,0,0.0,0.0,7.3592627,3.5366721,2.4232269
Dương/10. VHM/VHM 2018,2018,Vinhomes JSC,VHM.HM,0.0,669.0,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2018.0,2.8424358,0.0,9.7127526,0.2665968,0.358198,0.5607489,0.0628657,0.0068526,84251603.3742993,0.0863322,0.3079523,0.1542624,147.4118184,637184960.993532,0.0,0.0,0,0.0,0.0,7.4650069,3.5081673,3.6266473
Dương/10. VHM/VHM 2020,2020,Vinhomes JSC,VHM.HM,0.0,669.0,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2020.0,1.6632709,18.1350252,9.9700496,0.115896,0.4801329,0.7975667,0.0401096,0.0444298,16530212.3970524,0.0802921,0.199621,0.1766832,39.1908560,1222650195.05852,0.0,20.0,1,43.7254902,0.0,2.8654132,3.5482714,1.4674781
Dương/10. VHM/VHM 2021,2021,Vinhomes JSC,VHM.HM,0.0,669.0,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2021.0,1.5170167,27.6973428,10.0042912,0.0864095,0.3270944,0.7128403,0.0078231,0.017508,-398155136.911282,0.0450865,0.1239773,0.2225622,20.0583449,1706395531.21577,0.0,22.2222222,1,54.4871795,11.7774029,2.5537285,3.5686937,2.8807679
Dương/100. CROP/CROP 2018,2018,Crompton Greaves Consumer Electricals Ltd,CROP.NS,2.627649885336592,82.0,CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,Household Durables,2018.0,6.2205345,47.8669598,8.5864738,0.2432004,0.4516547,0.7668717,0.0000000,0.0438185,-8023995.3743857,0.2699747,0.1393254,0.0297904,2.6865627,58021104.3654235,8.0,25.0,0,64.138222,34.9009046,6.4538513,3.2936397,3.8842403
Dương/100. CROP/CROP 2019,2019,Crompton Greaves Consumer Electricals Ltd,CROP.NS,2.2859840302389114,82.0,CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,Household Durables,2019.0,6.6724978,51.5325976,8.5626348,0.1270868,0.3941573,0.8450852,0.0110911,0.0043608,-12338550.170576,0.2063986,0.1794921,0.0526779,-7.3199254,65892769.4370329,6.0,25.0,0,71.7119977,39.8332547,3.8714369,3.3099342,2.4055172
Dương/100. CROP/CROP 2020,2020,Crompton Greaves Consumer Electricals Ltd,CROP.NS,2.2325138386556613,82.0,CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,Household Durables,2020.0,4.9403669,50.9662427,8.6918552,0.1440223,0.3421721,0.7388595,0.0126489,0.0686184,32594992.9584205,0.5163717,0.1583547,0.0399229,9.4569656,84314368.924074,13.0,22.2222222,1,61.6566262,45.1321267,-5.7777247,3.2803604,4.8148579
Dương/10. VHM/VHM 2023,2023,Vinhomes JSC,VHM.HM,0.0,669.0,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2023.0,0.8950754,25.9122462,10.2631086,0.1274846,0.4747159,0.7955155,0.0621672,0.0022071,135465704.863974,0.0482475,0.1244127,0.1606033,61.5289540,1382229018.96125,2.0,37.5,1,48.1257631,10.3449049,5.0650239,3.6358204,2.0933909
Dương/10. VHM/VHM 2022,2022,Vinhomes JSC,VHM.HM,0.0,669.0,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2022.0,1.0028128,26.2891366,10.1853878,0.1000695,0.5189492,0.8668649,0.0098257,0.024797,262220372.723422,0.0717715,0.1778888,0.1628149,-29.0254695,1235137229.98729,4.0,22.2222222,1,53.2417582,8.1025666,8.5375005,3.6178071,4.442833
Dương/100. CROP/CROP 2021,2021,Crompton Greaves Consumer Electricals Ltd,CROP.NS,2.266003649114593,82.0,CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,Household Durables,2021.0,2.7862731,59.3727373,8.929215,0.2614106,0.4663702,0.7526798,0.0091872,0.0223289,-12142068.5257452,0.2339982,0.1176893,0.0757732,8.2052805,76201492.9895891,19.0,22.2222222,1,69.8639828,56.5069534,9.6895925,3.3501731,8.3549077
Dương/10. VHM/VHM 2024,2024,Vinhomes JSC,VHM.HM,0.0,669.0,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2024.0,0.7366197,33.0790122,10.3452409,0.1440816,0.4936683,0.7703334,0.0776708,0.0126661,576018131.868132,0.0731749,0.0969428,0.1694675,-5.9222045,1376479042.38619,28.0,37.5,1,51.2637363,13.3259662,7.0911875,3.6736926,4.1595862
Dương/100. CROP/CROP 2022,2022,Crompton Greaves Consumer Electricals Ltd,CROP.NS,1.9201696026865167,82.0,CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,Household Durables,2022.0,3.3928352,63.8068942,8.8377284,0.1777562,0.3071804,0.5800517,0.0396331,0.0014148,-11536027.2638754,0.0957893,0.1375382,0.0865569,17.6526299,57984420.6426485,9.0,22.2222222,1,79.2838182,55.976519,7.609365,3.370596,5.8971419
