"",Identifier,Company Name,Country of Exchange,GICS Industry Name,year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF,ClimateRiskScore
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2024,8.386555616,47.198509,9.160877604,0.004186798,0.425616943,0.992104862,0.055978809,0.051681297,6867007.972,0.486352543,0.149049376,0.091936055,13.44951836,219114243.6,4,50.0,TRUE,42.3727993,39.12283105,6.48422363,3.430826821,3.2018101,1.980818769573714
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2023,9.331632761,40.1353667,9.121368541,0.004452246,0.45578342,0.99160897,0.074810138,0.04561052,-272866931.1,0.513747278,0.149719258,0.094118,21.23824942,150039668.2,4,50.0,TRUE,36.29474437,38.99541074,9.19075493,3.403141173,2.591949545,1.968975734294904
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2022,10.90620935,44.22188934,9.051738651,0.003551104,0.466863342,0.993495965,0.054906053,0.311217903,293503149.3,0.405037425,0.15882952,0.101998985,11.23485157,123990231.8,7,50.0,TRUE,47.50612686,38.47074311,7.609364978,3.370596035,5.897141859,2.0690818950228893
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2024,4.465038486,29.72401901,8.50139294,0.006063308,0.398956083,0.986668814,0.006530413,0.015411862,74359.27443,0.195984036,0.205113125,0.267823304,11.3763656,47892381.51,4,37.5,TRUE,44.18681977,9.790412134,6.48422363,3.430826821,3.2018101,1.5927109637208758
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2023,5.641234878,23.4222891,8.415396614,0.002057198,0.426221656,0.984237875,0.015599434,0.015574219,3206358.728,0.293259974,0.262316367,0.278303916,32.99222535,39375908.82,4,37.5,TRUE,42.59936482,7.553464995,9.19075493,3.403141173,2.591949545,1.0
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2022,6.897008086,23.45685767,8.289388973,0.004655882,0.414362146,0.973121098,0.008437078,0.009932114,1917916.261,0.184338484,0.271370473,0.311207571,22.43440187,21054418.21,4,37.5,TRUE,52.26766951,6.552427631,7.609364978,3.370596035,5.897141859,1.2075699162528035
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2024,8.896571087,50.86740808,8.952783661,0.239291506,0.200684696,0.444864446,0.046821264,0.019831148,10165008.78,0.04766984,0.015089938,0.713846969,9.678982657,74825043.89,4,10.0,TRUE,64.83019926,36.76004228,6.48422363,3.430826821,3.2018101,2.328091959333851
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2023,10.02263753,52.1511505,8.898102371,0.23623833,0.274658442,0.601190753,0.017762951,0.015928736,15011397.72,0.024675811,0.015044312,0.702058296,1.403201988,77936412.72,4,27.27272727,TRUE,61.34928616,42.9299663,9.19075493,3.403141173,2.591949545,1.0
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2022,11.32296821,44.19226628,8.837026595,0.251906896,0.388530282,0.811055563,0.00548927,0.0,-2323515.093,0.010917875,0.016112518,0.694267798,35.75876843,64403602.73,6,22.22222222,TRUE,44.06319763,36.9792587,7.609364978,3.370596035,5.897141859,0.0
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2024,1.249339561,53.8062459,9.937285423,0.544554158,0.135429779,0.193024345,0.061493151,0.021287694,169493270.9,0.090805881,0.017961306,0.588796662,39.59470582,104840257.5,6,28.57142857,FALSE,57.71697152,51.41315317,6.48422363,3.430826821,3.2018101,2.7901382928707488
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2023,1.572446515,47.21267237,9.846834941,0.632816713,0.1368529,0.174513674,0.030026145,0.008558556,66157168.57,0.03538855,0.008094053,0.686639759,23.15202848,143902819.4,6,28.57142857,TRUE,45.08931243,48.57031046,9.19075493,3.403141173,2.591949545,2.433410523352533
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2022,1.676829716,50.69281164,9.817184082,0.635433302,0.130114265,0.166355164,0.023814036,0.000436292,193524.8296,0.037510907,0.005178211,0.688795376,9.083857039,155354187.0,5,28.57142857,TRUE,45.02041524,47.08116322,7.609364978,3.370596035,5.897141859,2.4955077280158537
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2023,1.573685222,54.80460787,10.28519634,0.406329859,0.274109394,0.362153917,0.043779227,0.002350001,50896220.76,0.026430306,0.059022901,0.50164258,-25.47848805,395128974.2,9,11.11111111,TRUE,35.56252898,68.08647702,9.19075493,3.403141173,2.591949545,2.163756612119613
5,ADEL.NS,Adani Enterprises Ltd,India,Trading Companies & Distributors,2022,1.784332986,57.94000712,10.23605862,0.376007348,0.316656586,0.413171966,0.035864746,0.001947023,118074488.8,0.019645573,0.048895021,0.476994274,69.72598219,267767770.2,4,12.5,TRUE,48.72318389,56.65584416,7.609364978,3.370596035,5.897141859,1.204772966876348
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2024,0.588444717,70.13779752,9.289428205,0.301498242,0.235508278,0.398759378,0.0,0.046459329,36603861.91,0.103781506,0.147503831,0.240926711,11.37146542,-73045055.59,8,28.57142857,TRUE,59.01573322,88.36099132,6.48422363,3.430826821,3.2018101,1.6698131847448774
