"",Identifier,Company Name,Country of Exchange,GICS Industry Name,year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF,ClimateRiskScore, n_years
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2022,10.90620899200,44.22188949585,9.05173873901,0.00355110411,0.46686333418,0.99349594116,0.05490605161,0.31121790409,293503136.00000000000,0.40503743291,0.15882952511,0.10199898481,11.23485183716,123990231.80000000000,7.00000000000,50.00000000000,TRUE,47.50612640381,38.47074127197,7.60936498642,3.37059593201,5.89714193344,2.06908178329,3.00000000000
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2023,9.33163261414,40.13536834717,9.12136840820,0.00445224578,0.45578342676,0.99160897732,0.07481013983,0.04561052099,-272866944.00000000000,0.51374727488,0.14971925318,0.09411799908,21.23824882507,150039668.20000000000,4.00000000000,50.00000000000,TRUE,36.29474258423,38.99541091919,9.19075489044,3.40314126015,2.59194946289,1.96897578239,3.00000000000
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2024,8.38655567169,47.19850921631,9.16087722778,0.00418679789,0.42561694980,0.99210488796,0.05597880855,0.05168129876,6867008.00000000000,0.48635253310,0.14904937148,0.09193605185,13.44951820374,219114243.60000000000,4.00000000000,50.00000000000,TRUE,42.37279891968,39.12282943726,6.48422384262,3.43082690239,3.20181012154,1.98081874847,3.00000000000
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2022,6.89700794220,23.45685768127,8.28938865662,0.00465588178,0.41436213255,0.97312110662,0.00843707845,0.00993211381,1917916.25000000000,0.18433848023,0.27137047052,0.31120756269,22.43440246582,21054418.21000000000,4.00000000000,37.50000000000,TRUE,52.26766967773,6.55242776871,7.60936498642,3.37059593201,5.89714193344,1.20756995678,3.00000000000
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2023,5.64123487473,23.42228889465,8.41539669037,0.00205719797,0.42622166872,0.98423784971,0.01559943426,0.01557421871,3206358.75000000000,0.29325997829,0.26231637597,0.27830392122,32.99222564697,39375908.82000000000,4.00000000000,37.50000000000,TRUE,42.59936523438,7.55346488953,9.19075489044,3.40314126015,2.59194946289,1.00000000000,3.00000000000
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2024,4.46503829956,29.72401809692,8.50139331818,0.00606330810,0.39895609021,0.98666882515,0.00653041294,0.01541186217,74359.27343750000,0.19598403573,0.20511312783,0.26782330871,11.37636566162,47892381.51000000000,4.00000000000,37.50000000000,TRUE,44.18682098389,9.79041194916,6.48422384262,3.43082690239,3.20181012154,1.59271097183,3.00000000000
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2022,11.32296848297,44.19226455688,8.83702659607,0.25190690160,0.38853028417,0.81105554104,0.00548927020,0.00000000000,-2323515.00000000000,0.01091787498,0.01611251757,0.69426780939,35.75876998901,64403602.73000000000,6.00000000000,22.22222137451,TRUE,44.06319808960,36.97925949097,7.60936498642,3.37059593201,5.89714193344,0.00000000000,3.00000000000
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2023,10.02263736725,52.15114974976,8.89810276031,0.23623833060,0.27465844154,0.60119074583,0.01776295155,0.01592873596,15011398.00000000000,0.02467581071,0.01504431199,0.70205831528,1.40320193768,77936412.72000000000,4.00000000000,27.27272796631,TRUE,61.34928512573,42.92996597290,9.19075489044,3.40314126015,2.59194946289,1.00000000000,3.00000000000
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2024,8.89657115936,50.86740875244,8.95278358459,0.23929150403,0.20068469644,0.44486445189,0.04682126269,0.01983114891,10165009.00000000000,0.04766983911,0.01508993842,0.71384698153,9.67898273468,74825043.89000000000,4.00000000000,10.00000000000,TRUE,64.83020019531,36.76004409790,6.48422384262,3.43082690239,3.20181012154,2.32809185982,3.00000000000
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2022,1.67682969570,50.69281005859,9.81718444824,0.63543331623,0.13011427224,0.16635516286,0.02381403558,0.00043629200,193524.82812500000,0.03751090541,0.00517821079,0.68879538774,9.08385658264,155354187.00000000000,5.00000000000,28.57142829895,TRUE,45.02041625977,47.08116149902,7.60936498642,3.37059593201,5.89714193344,2.49550771713,3.00000000000
