ID,identifier,companyname,countryofexchange,gicsindustryname,year,fv,esg,size,lev,lctat,lctlt,chlct,ch,cf,cheat,inventory,fixed,growth,ni,boardmeetings,female,ceo,g_score,e_score,gdpgrowth,gdppercapita,inf,climateriskscore,n_years
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2022,10.90621,44.22189,9.051739,0.0035511,0.4668633,0.9934959,0.0549061,0.3112179,2.94E+08,0.4050374,0.1588295,0.101999,11.23485,1.24E+08,7,50,TRUE,47.50613,38.47074,7.609365,3.370596,5.897142,2.069082,3
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2023,9.331633,40.13537,9.121368,0.0044522,0.4557834,0.991609,0.0748101,0.0456105,-2.73E+08,0.5137473,0.1497193,0.094118,21.23825,1.50E+08,4,50,TRUE,36.29474,38.99541,9.190755,3.403141,2.591949,1.968976,3
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2024,8.386556,47.19851,9.160877,0.0041868,0.4256169,0.9921049,0.0559788,0.0516813,6867008,0.4863525,0.1490494,0.0919361,13.44952,2.19E+08,4,50,TRUE,42.3728,39.12283,6.484224,3.430827,3.20181,1.980819,3
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2022,6.897008,23.45686,8.289389,0.0046559,0.4143621,0.9731211,0.0084371,0.0099321,1917916,0.1843385,0.2713705,0.3112076,22.4344,21054418,4,37.5,TRUE,52.26767,6.552428,7.609365,3.370596,5.897142,1.20757,3
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2023,5.641235,23.42229,8.415397,0.0020572,0.4262217,0.9842378,0.0155994,0.0155742,3206359,0.29326,0.2623164,0.2783039,32.99223,39375909,4,37.5,TRUE,42.59937,7.553465,9.190755,3.403141,2.591949,1,3
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2024,4.465038,29.72402,8.501393,0.0060633,0.3989561,0.9866688,0.0065304,0.0154119,74359.27,0.195984,0.2051131,0.2678233,11.37637,47892382,4,37.5,TRUE,44.18682,9.790412,6.484224,3.430827,3.20181,1.592711,3
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2022,11.32297,44.19226,8.837027,0.2519069,0.3885303,0.8110555,0.0054893,0,-2323515,0.0109179,0.0161125,0.6942678,35.75877,64403603,6,22.22222,TRUE,44.0632,36.97926,7.609365,3.370596,5.897142,0,3
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2023,10.02264,52.15115,8.898103,0.2362383,0.2746584,0.6011907,0.017763,0.0159287,1.50E+07,0.0246758,0.0150443,0.7020583,1.403202,77936413,4,27.27273,TRUE,61.34929,42.92997,9.190755,3.403141,2.591949,1,3
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2024,8.896571,50.86741,8.952784,0.2392915,0.2006847,0.4448645,0.0468213,0.0198311,1.02E+07,0.0476698,0.0150899,0.713847,9.678983,74825044,4,10,TRUE,64.8302,36.76004,6.484224,3.430827,3.20181,2.328092,3
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2022,1.67683,50.69281,9.817184,0.6354333,0.1301143,0.1663552,0.023814,0.0004363,193524.8,0.0375109,0.0051782,0.6887954,9.083857,1.55E+08,5,28.57143,TRUE,45.02042,47.08116,7.609365,3.370596,5.897142,2.495508,3
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2023,1.572446,47.21267,9.846835,0.6328167,0.1368529,0.1745137,0.0300261,0.0085586,6.62E+07,0.0353886,0.0080941,0.6866398,23.15203,1.44E+08,6,28.57143,TRUE,45.08931,48.57031,9.190755,3.403141,2.591949,2.43341,3
4,ADAI.NS,Adani Energy Solutions Ltd,India,Electric Utilities,2024,1.24934,53.80625,9.937285,0.5445542,0.1354298,0.1930244,0.0614932,0.0212877,1.69E+08,0.0908059,0.0179613,0.5887967,39.59471,1.05E+08,6,28.57143,FALSE,57.71697,51.41315,6.484224,3.430827,3.20181,2.790138,3
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2022,0.5454636,74.78539,9.316842,0.3857023,0.4197519,0.5222014,0.0267296,0.029428,6.99E+07,0.0680491,0.2577125,0.2803927,40.99861,-7238315.5,11,18.18182,TRUE,58.92767,90.94855,7.609365,3.370596,5.897142,1.997528,3
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2023,0.4226072,77.38594,9.430264,0.421043,0.3853104,0.4694269,0,0.0205986,-2.86E+07,0.0837645,0.2007048,0.2590608,-48.86797,-1.09E+08,7,25,TRUE,72.83591,91.1425,9.190755,3.403141,2.591949,2.70084,3
7,ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,Specialty Retail,2024,0.5884447,70.13779,9.289428,0.3014982,0.2355083,0.3987594,0,0.0464593,3.66E+07,0.1037815,0.1475038,0.2409267,11.37147,-73045056,8,28.57143,TRUE,59.01573,88.36099,6.484224,3.430827,3.20181,1.669813,3
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2022,2.202171,56.37149,9.913748,0.8049613,0.1253396,0.1405831,0.0374275,0.0101839,5.29E+07,0.0412986,0.0018111,0.7949407,40.23843,1.11E+08,7,10,TRUE,37.25495,68.31343,7.609365,3.370596,5.897142,1.109407,3
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2023,1.706881,58.22895,10.02622,0.7325442,0.302853,0.3406942,0.058104,0.0005647,7.27E+07,0.060641,0.0042694,0.7750118,16.63713,1.17E+08,6,22.22222,TRUE,37.88784,68.34013,9.190755,3.403141,2.591949,1.130435,3
8,ADNA.NS,Adani Green Energy Ltd,India,Independent Power and Renewable Electricity Producers,2024,1.343004,68.1436,10.11517,0.7185048,0.1516006,0.1701373,0.1226315,0.0012747,7.08E+07,0.0505461,0.0013824,0.8465322,18.61666,1.82E+08,8,10,TRUE,38.24183,82.87471,6.484224,3.430827,3.20181,1.137972,3
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2022,1.713053,21.97227,8.469406,0.2514723,0.3921193,0.7725837,0,0.0030988,-1717210,0.0082478,0.2132202,0.3560931,0.8241578,20247955,6,7.142857,TRUE,5.37902,15.80287,7.609365,3.370596,5.897142,1.725896,3
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2023,1.717221,29.95751,8.465122,0.2319889,0.3270665,0.6912896,0,0.0027721,-91265.75,0.0080673,0.1997618,0.4255689,-8.231721,20586767,6,15.38461,TRUE,11.70033,32.56833,9.190755,3.403141,2.591949,1.302833,3
9,ADRG.NS,Aarti Drugs Ltd,India,Pharmaceuticals,2024,1.625165,27.27785,8.479012,0.2388918,0.3250773,0.6941892,0,0.0029363,-253949.7,0.0090671,0.183685,0.4618554,-7.917879,19672323,7,12.5,TRUE,13.8277,27.88294,6.484224,3.430827,3.20181,1.337069,3
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2022,3.388945,28.21806,8.940416,0.2685996,0.158173,0.3120757,0.0448719,0,8.99E+07,0.3212119,0.022269,0.5663608,72.10242,62158727,8,11.11111,TRUE,44.01244,26.19894,7.609365,3.370596,5.897142,1.528238,3
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2023,3.000601,39.8353,8.986122,0.3301722,0.1292217,0.2496556,0.034777,0,2.40E+07,0.2103951,0.0098478,0.5970988,-19.49514,80648374,6,11.11111,FALSE,55.54595,29.29957,9.190755,3.403141,2.591949,1.845842,3
10,AEGS.NS,Aegis Logistics Ltd,India,"Oil, Gas & Consumable Fuels",2024,2.130633,43.87396,9.118774,0.4100543,0.1194708,0.2032717,0.0314093,0,4.43E+07,0.3398467,0.017482,0.567786,-6.363316,92149198,5,11.11111,FALSE,62.81026,28.71979,6.484224,3.430827,3.20181,1.845842,3
12,AIAE.NS,AIA Engineering Ltd,India,Machinery,2022,4.114721,60.03313,8.906932,0.0757859,0.1319508,0.930969,0.3514051,0,6179175,0.5514191,0.1912952,0.1639359,27.14929,1.29E+08,4,33.33333,TRUE,71.69939,41.90944,7.609365,3.370596,5.897142,2.131406,3
12,AIAE.NS,AIA Engineering Ltd,India,Machinery,2023,3.661328,57.83714,8.953876,0.0615143,0.0998742,0.8939012,0.2275302,0.0013347,-1.53E+07,0.5557188,0.168363,0.1573443,-2.53231,1.36E+08,4,33.33333,TRUE,63.53989,46.97584,9.190755,3.403141,2.591949,2.089892,3
12,AIAE.NS,AIA Engineering Ltd,India,Machinery,2024,3.531571,55.5574,8.962276,0.0626198,0.1005712,0.8685961,0.5040205,0,2.54E+07,0.5570319,0.1400185,0.1568596,-13.83844,1.24E+08,5,33.33333,TRUE,61.70063,40.64611,6.484224,3.430827,3.20181,1,3
13,AISG.NS,Asahi India Glass Ltd,India,Automobile Components,2022,4.408309,30.78167,8.746239,0.3059613,0.3530691,0.6453696,0.0296937,0,3555258,0.0280424,0.2539435,0.5587586,17.10246,44020204,4,20,TRUE,59.14479,19.55538,7.609365,3.370596,5.897142,2.253691,3
13,AISG.NS,Asahi India Glass Ltd,India,Automobile Components,2023,3.720311,27.37415,8.819427,0.3577581,0.3080927,0.5385581,0.0435496,0,7098980,0.0375837,0.1928482,0.6059266,6.466143,38998200,5,30,TRUE,39.84233,18.72436,9.190755,3.403141,2.591949,2.095403,3
13,AISG.NS,Asahi India Glass Ltd,India,Automobile Components,2024,3.049977,34.88512,8.900145,0.3970367,0.2748667,0.4528951,0.0195843,0,-1568169,0.028433,0.1764662,0.6624982,3.24271,42984201,4,33.33333,TRUE,50.27798,21.8292,6.484224,3.430827,3.20181,2.154205,3
14,AITE.NS,Aditya Birla Real Estate Ltd,India,Paper & Forest Products,2022,2.210157,38.51737,9.01228,0.1253378,0.3997828,0.7401885,0.0113738,0.0011927,-1.75E+07,0.0119662,0.4012913,0.3906082,-14.30716,39263632,5,25,TRUE,30.02811,31.46285,7.609365,3.370596,5.897142,2.686996,3
14,AITE.NS,Aditya Birla Real Estate Ltd,India,Paper & Forest Products,2023,1.846802,48.38671,9.100704,0.2380259,0.3331776,0.5361712,0.0452802,0.0203765,5.19E+07,0.0781369,0.4597865,0.2834162,-71.68769,15386923,6,28.57143,TRUE,23.41457,63.81844,9.190755,3.403141,2.591949,2.003505,3
14,AITE.NS,Aditya Birla Real Estate Ltd,India,Paper & Forest Products,2024,1.166007,54.92416,9.286644,0.3022131,0.5090984,0.6631269,0.0230533,0.0331975,5.70E+07,0.1141879,0.5512857,0.0420627,8.026156,-17406671,8,28.57143,TRUE,49.07974,52.94168,6.484224,3.430827,3.20181,3.327509,3
16,AKZO.NS,Akzo Nobel India Ltd,India,Chemicals,2022,5.315094,50.18029,8.52317,0.0254333,0.4611932,0.8874456,0.0977925,0.0697318,2.07E+07,0.1969846,0.221383,0.2114578,11.55663,40786271,6,16.66667,TRUE,66.91386,31.64279,7.609365,3.370596,5.897142,2.087081,3
16,AKZO.NS,Akzo Nobel India Ltd,India,Chemicals,2023,5.10759,55.06305,8.542076,0.0207996,0.4902028,0.9043837,0.0935722,0.0483832,-4919016,0.1849512,0.2166053,0.2211164,2.707442,51181764,4,16.66667,TRUE,65.07108,47.46756,9.190755,3.403141,2.591949,1.958314,3
16,AKZO.NS,Akzo Nobel India Ltd,India,Chemicals,2024,5.240213,49.41148,8.531195,0.0213887,0.4994489,0.9217519,0.082615,0.044224,-2984201,0.0963365,0.2175036,0.1880898,0.7334306,50263312,5,16.66667,TRUE,40.63715,41.2603,6.484224,3.430827,3.20181,2.16281,3
17,ALEM.NS,Alembic Pharmaceuticals Ltd,India,Pharmaceuticals,2022,2.915131,43.24706,8.876527,0.1167782,0.2647525,0.9031981,0.046111,0,1752678,0.0097908,0.2472606,0.485171,-1.578702,41623661,5,11.11111,TRUE,45.02354,44.89108,7.609365,3.370596,5.897142,1.64678,3
17,ALEM.NS,Alembic Pharmaceuticals Ltd,India,Pharmaceuticals,2023,2.83839,42.52937,8.888356,0.0796142,0.2257361,0.8940752,0.0826186,0,5366527,0.019165,0.2640305,0.4764614,8.616941,73884823,7,11.11111,TRUE,38.56734,51.13726,9.190755,3.403141,2.591949,2.193743,3
17,ALEM.NS,Alembic Pharmaceuticals Ltd,India,Pharmaceuticals,2024,2.309793,41.26701,8.958873,0.1617792,0.310351,0.9342912,0.0346054,0,-4298420,0.0126332,0.2999277,0.4323666,4.486997,68111176,5,10,TRUE,44.72802,47.42436,6.484224,3.430827,3.20181,1.747876,3
19,ALKE.NS,Alkem Laboratories Ltd,India,Pharmaceuticals,2022,4.436992,34.73897,9.223851,0.1015278,0.269481,0.7868568,0.0538392,0.0053945,5065726,0.0750632,0.198372,0.1827134,0.7662795,1.23E+08,8,25,TRUE,31.15501,35.88134,7.609365,3.370596,5.897142,1.964346,3
19,ALKE.NS,Alkem Laboratories Ltd,India,Pharmaceuticals,2023,3.956291,44.08575,9.27152,0.0910702,0.2564736,0.7590103,0.1139227,0,-2.49E+07,0.2724529,0.17871,0.1641763,7.651032,2.17E+08,7,25,TRUE,47.33138,54.38898,9.190755,3.403141,2.591949,2.825707,3
19,ALKE.NS,Alkem Laboratories Ltd,India,Pharmaceuticals,2024,3.574022,38.8053,9.316043,0.0780562,0.2241229,0.694851,0.049632,0.006068,-2.18E+07,0.2366034,0.1725766,0.1618158,-0.1710913,2.59E+08,10,25,FALSE,24.19395,55.08514,6.484224,3.430827,3.20181,1.888104,3
22,AMBE.NS,Amber Enterprises India Ltd,India,Household Durables,2022,3.708113,24.59509,8.880755,0.233067,0.5523978,0.7956531,0,0.0517641,2993781,0.1371132,0.1864351,0.2886367,52.13538,19933739,5,16.66667,TRUE,27.51403,15.00699,7.609365,3.370596,5.897142,1.492799,3
22,AMBE.NS,Amber Enterprises India Ltd,India,Household Durables,2023,3.596626,27.66234,8.89819,0.2334145,0.4982765,0.7254034,0,0.0200012,-2.30E+07,0.1259431,0.131298,0.3209772,-4.242774,16732681,5,14.28571,TRUE,25.75289,13.5336,9.190755,3.403141,2.591949,1.794488,3
22,AMBE.NS,Amber Enterprises India Ltd,India,Household Durables,2024,2.835192,31.33008,8.994018,0.2442795,0.5406142,0.741798,0,0.025249,9470884,0.1544944,0.1999895,0.2827882,44.56134,29391621,6,14.28571,TRUE,20.99161,17.29938,6.484224,3.430827,3.20181,2.326277,3
23,ANUY.NS,Anupam Rasayan India Ltd,India,Chemicals,2022,3.205812,43.7626,8.662592,0.2175028,0.2146136,0.5769405,0.2316362,0.0996546,1.70E+07,0.2013232,0.2465553,0.370573,38.82526,26393257,10,25,TRUE,25.62702,33.08789,7.609365,3.370596,5.897142,1.406703,3
23,ANUY.NS,Anupam Rasayan India Ltd,India,Chemicals,2023,2.649891,39.04578,8.742009,0.2325287,0.2858118,0.7145391,0.1899339,0.0085747,7437793,0.0924767,0.229335,0.4272686,-9.232493,20088062,11,25,TRUE,24.241,32.39846,9.190755,3.403141,2.591949,1.776062,3
23,ANUY.NS,Anupam Rasayan India Ltd,India,Chemicals,2024,2.369401,42.77736,8.790007,0.2606594,0.3431856,0.7476336,0.0625184,0.0027845,-1.60E+07,0.0289827,0.2754857,0.4278955,-4.976699,18721123,13,25,FALSE,29.62531,34.49035,6.484224,3.430827,3.20181,1.789908,3
