STT,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chtct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDP_growth,GDPpercapita,INF
1,PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,Real Estate Management & Development,2024,0.970123506,43.72826397,8.973750291,0.222774322,0.098468448,0.659392167,0.040137958,0,-6335583.231,-0.007295545,21.70572485,0.039362974,0.266928179,6090412.901,34,0,TRUE,64.75579976,30.33231275,7.091187466,3.673692602,4.159586212
1,PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,Real Estate Management & Development,2023,1.045169651,52.93003846,8.938728858,0.147389179,0.10469046,0.794778192,0.055040568,9.49315E-09,10030681.53,0.010367348,7.89106446,0.059253781,-0.600571467,28132810.83,32,12.5,TRUE,78.57753358,35.24733468,5.065023915,3.635820428,2.093390916
1,PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,Real Estate Management & Development,2022,0.893328229,54.67262085,8.985662771,0.19436247,0.13212095,0.750631473,0.023190428,0.000262659,-9837687.237,-0.010925775,3.252901247,0.04951255,-0.598215573,49158497.69,40,11.11111111,TRUE,81.01889339,32.5465719,8.537500468,3.617807103,4.44283305
1,PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,Real Estate Management & Development,2021,0.99301621,0,8.954440747,0.166746057,0.112903059,0.646855476,0.055895154,0.000291944,19314957.39,0.028531863,3.150661711,0.055451919,-0.064463075,81516179.01,0,0,0,0,0,2.553728526,3.568693672,2.880767929
1,PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,Real Estate Management & Development,2020,1.301833386,0,8.83056363,0.121581953,0.103251305,0.417136069,0.010753205,0.000384185,-25711662.58,-0.042672354,2.756284224,0.061963956,0.155329463,52893475.86,0,0,0,0,0,2.865413209,3.548271404,1.467478148
1,PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,Real Estate Management & Development,2019,1.510824408,0,8.779983554,0.155564822,0.06187939,0.317948423,0.210343999,0,19722640.41,0.041362974,3.725531414,0.067171452,0.584466793,37725751.43,0,0,0,0,0,7.359262701,3.536672083,2.423226942
1,PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,Real Estate Management & Development,2018,2.008772842,0,8.678353301,0,0.060085631,0.104053909,0.239072182,0,1952842.373,0.004455741,4.328175029,0.071329105,0.584718248,27741125.36,0,0,0,0,0,7.465006856,3.508167323,3.6266473
2,MWG.HM,Mobile World Investment Corp,Vietnam,Specialty Retail,2024,1.522817683,29.3257459,9.44160621,0.387579625,0.161755449,0.991470975,0.111005517,0.002839386,-18381998.29,-0.007418701,0.17906344,0.272568982,0.081408813,146518376.3,8,0,TRUE,39.51770452,24.96141975,7.091187466,3.673692602,4.159586212
2,MWG.HM,Mobile World Investment Corp,Vietnam,Specialty Retail,2023,1.667269486,25.86066415,9.39406487,0.417788636,0.146600786,0.836806565,0.155878302,0.009483556,12559122.41,0.005310749,0.159210919,0.335108334,-0.137132033,6917937.137,19,0,TRUE,33.22954823,26.886806,5.065023915,3.635820428,2.093390916
2,MWG.HM,Mobile World Investment Corp,Vietnam,Specialty Retail,2022,1.635452064,28.73348219,9.373803499,0.297119322,0.135036367,0.814646134,0.147922365,0.021760897,38924387.33,0.014108771,0.202034004,0.375494353,0.048887759,173727845.2,11,0,TRUE,56.45748988,9.945394976,8.537500468,3.617807103,4.44283305
2,MWG.HM,Mobile World Investment Corp,Vietnam,Specialty Retail,2021,1.432437259,0,9.440732596,0.391407407,0.126841276,0.999722145,0.061199318,0.024381598,-140453083.7,-0.07039302,0.271592721,0.286904601,0.144932994,214739394.3,0,0,0,0,0,2.553728526,3.568693672,2.880767929
2,MWG.HM,Mobile World Investment Corp,Vietnam,Specialty Retail,2020,1.992411879,0,9.300001683,0.363926499,0.151485159,0.962826762,0.076243468,0.11089475,183468599.1,0.101926277,0.190920986,0.284503181,0.067012857,169912124.4,0,0,0,0,0,2.865413209,3.548271404,1.467478148
2,MWG.HM,Mobile World Investment Corp,Vietnam,Specialty Retail,2019,2.161635113,0,9.255275583,0.339338253,0.198122776,0.961791165,0.071173681,0.026155327,-27375315.77,-0.022573842,0.297822992,0.221441097,0.181951161,165562128.8,0,0,0,0,0,7.359262701,3.536672083,2.423226942
2,MWG.HM,Mobile World Investment Corp,Vietnam,Specialty Retail,2018,3.153358094,0,9.083753663,0.250497427,0.227677292,0.936470868,0.187608681,0.01371971,14599694.13,0.014521226,0.257422749,0.21495783,0.276582233,124204789.1,0,0,0,0,0,7.465006856,3.508167323,3.6266473
3,BCG.HM,Bamboo Capital Group JSC,Vietnam,Industrial Conglomerates,2024,0.065522289,35.21603884,9.26146481,0.248920232,0.121305804,0.361738633,0.050919546,0.001045547,-1359215.478,-0.000784934,0.797565008,0.284219457,0.037478851,33155335.98,75,0,FALSE,79.26129426,21.37734103,7.091187466,3.673692602,4.159586212
3,BCG.HM,Bamboo Capital Group JSC,Vietnam,Industrial Conglomerates,2023,0.07005231,31.26221826,9.238455012,0.289563278,0.12648706,0.343842286,0.03972661,0.006583193,5249921.242,0.002828605,0.810847215,0.299371241,-0.138270944,7051827.506,101,0,0,77.55189255,14.87413821,5.065023915,3.635820428,2.093390916
3,BCG.HM,Bamboo Capital Group JSC,Vietnam,Industrial Conglomerates,2022,0.064014565,33.94645368,9.268580423,0.335991584,0.100934835,0.306194428,0.047520944,0.002024171,-17557953.1,-0.010633257,1.028466008,0.263223529,0.691680743,24006641.43,56,0,0,80.24966262,19.49493374,8.537500468,3.617807103,4.44283305
3,BCG.HM,Bamboo Capital Group JSC,Vietnam,Industrial Conglomerates,2021,0.071953452,35.05272464,9.217807584,0.372736933,0.08869651,0.298890417,0.064067945,0.010367126,6162242.854,0.005889877,1.561945677,0.255433921,0.410960191,43826621.35,47,0,TRUE,82.35294118,17.90604503,2.553728526,3.568693672,2.880767929
3,BCG.HM,Bamboo Capital Group JSC,Vietnam,Industrial Conglomerates,2020,0.116932154,0,9.01963256,0.273458828,0.083662923,0.470257957,0.076917467,0.00361828,32647380.24,0.104274223,1.450786605,0.189314093,0.182238899,11548295.65,0,0,0,0,0,2.865413209,3.548271404,1.467478148
3,BCG.HM,Bamboo Capital Group JSC,Vietnam,Industrial Conglomerates,2019,0.394463512,0,8.495671373,0.382887349,0.070606188,0.516288991,0.03582201,0.005307966,3304408.465,0.014402297,0.756723996,0.064348246,0.416636832,6064556.05,0,0,0,0,0,7.359262701,3.536672083,2.423226942
3,BCG.HM,Bamboo Capital Group JSC,Vietnam,Industrial Conglomerates,2018,0.553061304,0,8.360661967,0.358018231,0.090475523,0.678478715,0.015725538,0.005318923,-4931455.748,-0.031550847,0.088447842,0.106496886,-0.452606474,488407.5576,0,0,0,0,0,7.465006856,3.508167323,3.6266473
4,GEX.HM,Gelex Group JSC,Vietnam,Electrical Equipment,2024,0.876468829,21.54273429,9.324440094,0.30764098,0.248816509,0.427216152,0.119639174,0.037942819,29887757.47,0.013164817,0.275645722,0.611931138,0.071284671,104761792.3,0,0,TRUE,47.45421245,15.95736762,7.091187466,3.673692602,4.159586212
4,GEX.HM,Gelex Group JSC,Vietnam,Electrical Equipment,2023,0.831487853,21.41972091,9.356078499,0.362951006,0.257802656,0.435135674,0.123903747,0.018322966,6447288.786,0.002905812,0.25244399,0.673999675,-0.090207649,35609408.34,7,0,TRUE,51.78266178,13.45855158,5.065023915,3.635820428,2.093390916
4,GEX.HM,Gelex Group JSC,Vietnam,Electrical Equipment,2022,0.819613517,21.67317487,9.346109589,0.321501213,0.309190379,0.428602358,0.111616951,0.023441043,-74115086.67,-0.027646591,0.308198835,0.661166878,0.085499788,64877458.75,4,0,TRUE,47.08791209,10.70873037,8.537500468,3.617807103,4.44283305
4,GEX.HM,Gelex Group JSC,Vietnam,Electrical Equipment,2021,0.689868897,17.97011431,9.428265032,0.361535851,0.295674746,0.462122256,0.151791583,0.023834478,146631681.9,0.124586821,0.649464878,0.527583731,0.609316214,73005883.99,7,0,TRUE,48.71794872,9.306226516,2.553728526,3.568693672,2.880767929
4,GEX.HM,Gelex Group JSC,Vietnam,Electrical Equipment,2020,1.597053208,19.16383532,9.070755713,0.444927796,0.319217264,0.533572251,0.104184574,0.01586566,27666553.08,0.030195453,0.212237952,0.379658832,0.177101443,42464298.29,10,0,TRUE,50,9.647550777,2.865413209,3.548271404,1.467478148
4,GEX.HM,Gelex Group JSC,Vietnam,Electrical Equipment,2019,2.042971358,0,8.962013499,0.403704419,0.326409317,0.514448212,0.095543844,0.008929227,-116300.6262,-0.00015638,0.195715593,0.468839467,0.118869929,35430318.17,0,0,0,0,0,7.359262701,3.536672083,2.423226942
4,GEX.HM,Gelex Group JSC,Vietnam,Electrical Equipment,2018,2.552308691,0,8.871399926,0.340571543,0.34654411,0.587283337,0.098776413,0.014459036,-7496773.113,-0.01236679,0.172437796,0.484060208,0.118951254,55346414.71,0,0,0,0,0,7.465006856,3.508167323,3.6266473
5,SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,Beverages,2024,1.70671663,51.05397008,9.118059135,0.012405376,0.478594346,0.852308399,0.154526928,0.093893423,-22072463.24,-0.015723166,0.061842591,0.354773903,-0.003776034,176403980.6,6,28.57142857,FALSE,87.46642247,22.88647343,7.091187466,3.673692602,4.159586212
5,SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,Beverages,2023,1.592078951,49.82174326,9.147310809,0.020582128,0.471067876,0.83546801,0.173023286,0.106201342,40001808.32,0.027402891,0.064478873,0.346652653,-0.152487424,175393775.6,5,28.57142857,FALSE,85.24420024,27.02065905,5.065023915,3.635820428,2.093390916
5,SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,Beverages,2022,1.523366286,37.55170786,9.164283249,0.029974062,0.562689524,0.81360177,0.106943702,0.089484777,19610747.88,0.014682158,0.080405323,0.34084392,0.282187112,232943582.3,5,28.57142857,FALSE,73.07017544,15.73357453,8.537500468,3.617807103,4.44283305
5,SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,Beverages,2021,1.672183648,0,9.125704252,0.021746051,0.54201792,0.783333848,0.09442915,0.095814064,38568118.94,0.032502918,0.060294205,0.379573831,-0.046653222,172149202.5,0,0,0,0,0,2.553728526,3.568693672,2.880767929
5,SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,Beverages,2020,1.907533342,0,9.074306101,0.035618516,0.568383791,0.695793245,0.163192738,0.068746516,-60240466.33,-0.051769424,0.038343094,0.401173606,-0.258985887,213994190.3,0,0,0,0,0,2.865413209,3.548271404,1.467478148
5,SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,Beverages,2019,1.954046903,0,9.065814996,0.039119406,0.642431081,0.746312467,0.156620502,0.117289141,-15170123.8,-0.015728494,0.054765786,0.389356101,0.05512277,231761586,0,0,0,0,0,7.359262701,3.536672083,2.423226942
5,SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,Beverages,2018,2.384885924,0,8.984301995,0.027221702,0.640387348,0.809484563,0.269198514,0.128413994,8572348.732,0.008839605,0.051923191,0.431078763,0.029116047,189855538.9,0,0,0,0,0,7.465006856,3.508167323,3.6266473
6,NVL.HM,No Va Land Investment Group Corp,Vietnam,Real Estate Management & Development,2024,0.133284361,54.74504172,9.969972211,0.258921598,0.241750137,0.536261335,0.031184871,0.005315407,46902570.05,0.004711886,29.34425996,0.011902586,0.816084418,-172474183.8,65,20,TRUE,87.72283272,31.04308005,7.091187466,3.673692602,4.159586212
6,NVL.HM,No Va Land Investment Group Corp,Vietnam,Real Estate Management & Development,2023,0.124953826,61.85567373,9.998001844,0.238988244,0.325558436,0.429034911,0.01963459,0.007034621,-213835370.4,-0.019588552,12.14388088,0.013305821,-0.584214627,20027391.79,104,28.57142857,TRUE,94.04761905,29.01402897,5.065023915,3.635820428,2.093390916
6,NVL.HM,No Va Land Investment Group Corp,Vietnam,Real Estate Management & Development,2022,0.109018444,71.1218061,10.0380772,0.25168847,0.311842305,0.354863567,0.038324473,0.021744005,-366327218.2,-0.041427299,8.754661641,0.018369826,-0.277715489,92398568.85,0,25,TRUE,96.86234818,32.58540027,8.537500468,3.617807103,4.44283305
6,NVL.HM,No Va Land Investment Group Corp,Vietnam,Real Estate Management & Development,2021,0.133326569,68.57585428,9.946582566,0.29984315,0.223710981,0.295055445,0.163151696,0.045679587,249304209.9,0.0397924,22.15109545,0.009204655,1.996746862,151358284.3,0,33.33333333,TRUE,93.76470588,34.29933969,2.553728526,3.568693672,2.880767929
6,NVL.HM,No Va Land Investment Group Corp,Vietnam,Real Estate Management & Development,2020,0.198628769,69.29498566,9.796929476,0.338332411,0.309761972,0.264870323,0.224954871,0.031058302,220744171.6,0.056844924,7.981459523,0.010818108,-0.53816014,169332534.9,0,40,TRUE,84.72222222,36.91090251,2.865413209,3.548271404,1.467478148
6,NVL.HM,No Va Land Investment Group Corp,Vietnam,Real Estate Management & Development,2019,0.331359522,0,9.589197556,0.384425135,0.325454041,0.277834671,0.103730121,0.050179283,-252425499.4,-0.084687026,3.744386214,0.019529658,-0.284516127,146187998,0,0,0,0,0,7.359262701,3.536672083,2.423226942
6,NVL.HM,No Va Land Investment Group Corp,Vietnam,Real Estate Management & Development,2018,0.447943735,0,9.474316345,0.403750248,0.324939823,0.558408319,0.270902193,0.06844733,244779268.8,0.112327282,2.61901537,0.018355996,0.286688783,141394967.1,0,0,0,0,0,7.465006856,3.508167323,3.6266473
7,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2024,0.736619682,33.07901222,10.34524086,0.144081598,0.119564584,0.770333352,0.077670763,0.012666055,576018131.9,0.03142878,0.502885399,0.173742208,-0.059222045,1376479042,28,37.5,TRUE,51.26373626,13.32596622,7.091187466,3.673692602,4.159586212
7,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2023,0.895075382,25.91224621,10.26310862,0.127484601,0.128778161,0.795515473,0.062167196,0.002207113,135465704.9,0.008839783,0.86285197,0.164297756,0.61528954,1382229019,2,37.5,TRUE,48.12576313,10.34490491,5.065023915,3.635820428,2.093390916
7,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2022,1.002812784,26.28913661,10.18538776,0.100069468,0.154767058,0.866864854,0.009825727,0.024797035,262220372.7,0.025964218,0.732152755,0.165701574,-0.290254695,1235137230,4,22.22222222,TRUE,53.24175824,8.102566558,8.537500468,3.617807103,4.44283305
7,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2021,1.517016662,27.69734276,10.00429118,0.086409474,0.16858746,0.712840255,0.007823115,0.017508042,-398155136.9,-0.042658216,0.40373016,0.225100236,0.200583449,1706395531,0,22.22222222,TRUE,54.48717949,11.7774029,2.553728526,3.568693672,2.880767929
7,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2020,1.663270936,18.13502516,9.970049639,0.115895978,0.15545881,0.797566722,0.04010956,0.044429824,16530212.4,0.001941896,0.836227193,0.177565868,0.39190856,1222650195,0,20,TRUE,43.7254902,0,2.865413209,3.548271404,1.467478148
7,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2019,1.811510487,0,9.93005248,0.134380657,0.233418832,0.861220483,0.022937579,0.053457838,423672996.4,0.082087717,1.560774328,0.146474789,0.336354904,1049549005,0,0,0,0,0,7.359262701,3.536672083,2.423226942
7,VHM.HM,Vinhomes JSC,Vietnam,Real Estate Management & Development,2018,2.842435824,0,9.712752606,0.266596771,0.301808279,0.56074888,0.062865693,0.006852584,84251603.37,0.037278149,2.358559261,0.154422333,1.474118184,637184961,0,0,0,0,0,7.465006856,3.508167323,3.6266473
8,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2024,1.363086038,26.72097965,8.793351456,0.555839029,0.290221851,0.985018281,0.034698138,0.102447171,44621848,0.082645354,0.305959026,0.12148477,0.198891108,16028792.48,11,37.5,TRUE,46.28205128,8.245884774,7.091187466,3.673692602,4.159586212
8,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2023,1.585485621,27.22471044,8.732329107,0.619025273,0.426740893,0.989523584,0.045243877,0.034050211,8873308.944,0.019907152,0.271866784,0.122877158,0.027531138,-13569518.73,11,40,TRUE,47.43589744,7.142857143,5.065023915,3.635820428,2.093390916
8,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2022,1.872577913,24.24487543,8.649076472,0.509638411,0.475461279,0.995162826,0.053158873,0.028038157,-15233099.32,-0.032235609,0.278651259,0.093215185,0.296416067,16860406.5,9,40,TRUE,40.8974359,6.504065041,8.537500468,3.617807103,4.44283305
8,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2021,1.789592831,23.47204291,8.674452397,0.56066823,0.334400528,0.998120026,0.074663513,0.039427781,17686979.65,0.075736932,0.339890819,0.002725345,0.550765439,19447901.27,9,50,TRUE,37.84313725,5.098039216,2.553728526,3.568693672,2.880767929
8,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2020,3.5488708,0,8.368345967,0.461422235,0.32477286,0.997267892,0.132495167,0.027841825,-6531891.2,-0.022953543,0.110299355,0.002628267,-0.11472646,442857.847,0,0,0,0,0,2.865413209,3.548271404,1.467478148
8,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2019,3.022902071,0,8.454189217,0.560837559,0.379310086,0.997760064,0.078366325,0.068802927,-4151026.086,-0.018627797,0.22135198,0.001697174,0.088196847,8797526.726,0,0,0,0,0,7.359262701,3.536672083,2.423226942
8,FRT.HM,FPT Digital Retail JSC,Vietnam,Specialty Retail,2018,4.014470934,0,8.347993975,0.570329049,0.238935253,0.993806527,0.213369729,0.017996507,13380866.72,0.078462352,0.186609381,0.001808254,0.139091532,14995563.69,0,0,0,0,0,7.465006856,3.508167323,3.6266473
9,VNM.HM,Vietnam Dairy Products JSC,Vietnam,Food Products,2024,2.221908323,75.02666655,9.334550496,0.168455896,0.154222636,0.810687337,0.101732927,0.006321634,-26926359.02,-0.012401588,0.089691032,0.622223649,-0.025584359,370992660.5,16,30,TRUE,81.54456654,68.79188671,7.091187466,3.673692602,4.159586212
9,VNM.HM,Vietnam Dairy Products JSC,Vietnam,Food Products,2023,2.1817012,70.89180157,9.336700318,0.160540954,0.166721297,0.817040207,0.059834647,0.035815818,25230166.21,0.012286541,0.09947073,0.608392767,-0.020094663,371778819.7,4,27.27272727,TRUE,68.98046398,69.05922359,5.065023915,3.635820428,2.093390916
9,VNM.HM,Vietnam Dairy Products JSC,Vietnam,Food Products,2022,2.271584466,70.63884597,9.31249049,0.101750979,0.176520915,0.82154884,0.086712362,0.020059005,-2058803.334,-0.000881119,0.08787788,0.62511596,-0.048529561,363302639.5,4,30,TRUE,74.56043956,68.53351517,8.537500468,3.617807103,4.44283305
9,VNM.HM,Vietnam Dairy Products JSC,Vietnam,Food Products,2021,1.996360696,72.18449117,9.36858037,0.177340407,0.181255156,0.84292123,0.069564169,0.02177291,10396891.95,0.004952385,0.11479207,0.539547534,0.03247646,465828520.2,5,40,TRUE,78.91363023,71.45187035,2.553728526,3.568693672,2.880767929
9,VNM.HM,Vietnam Dairy Products JSC,Vietnam,Food Products,2020,2.26587636,68.07215712,9.322089119,0.154522724,0.172897697,0.829436776,0.060780606,0.025755227,-24011782.53,-0.012446948,0.087477044,0.580194705,0.063554141,487027838.5,4,44.44444444,TRUE,71.80392157,68.36685076,2.865413209,3.548271404,1.467478148
