Index,Identifier,Company Name,Country of Exchange,GICS Industry Name,Year,FV,ESG,SIZE,LEV,lctat,lctlt,chlct,CH,CF,cheat,Inventory,Fixed,Growth,NI,BoardMeetings,Female,CEO,G_score,E_score,GDPgrowth,GDPpercapita,INF
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2024,8.3865556,47.1985090,9.1608776,0.0041868,0.4256169,0.9921049,0.0559788,0.0516813,6867007.9715735,0.4863525,0.1490494,0.0919361,13.4495184,219114243.6355990,4.0000000,50.0000000,TRUE,42.3727993,39.1228311,6.4842236,3.4308268,3.2018101
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2023,9.3316328,40.1353667,9.1213685,0.0044522,0.4557834,0.9916090,0.0748101,0.0456105,-272866931.1215290,0.5137473,0.1497193,0.0941180,21.2382494,150039668.2293540,4.0000000,50.0000000,TRUE,36.2947444,38.9954107,9.1907549,3.4031412,2.5919495
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2022,10.9062094,44.2218893,9.0517387,0.0035511,0.4668633,0.9934960,0.0549061,0.3112179,293503149.2921650,0.4050374,0.1588295,0.1019990,11.2348516,123990231.7540530,7.0000000,50.0000000,TRUE,47.5061269,38.4707431,7.6093650,3.3705960,5.8971419
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2021,11.5167730,0.0000000,9.0350571,0.0045412,0.4959642,0.9941006,0.0544834,0.0619368,-199525964.5211970,0.3469532,0.1277373,0.1084192,16.8326640,71506841.9568399,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.6895925,3.3501731,8.3549077
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2020,12.0033872,0.0000000,9.0167322,0.0076727,0.5182689,0.9874000,0.0696379,0.2542652,83388785.2872959,0.2795991,0.1199420,0.1103801,-22.2622826,31551477.2126699,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-5.7777247,3.2803604,4.8148579
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2019,11.4320019,0.0000000,9.0331436,0.0017583,0.5356734,0.9867032,0.1636094,0.1194676,17170287.3160477,0.1713113,0.1119009,0.1011943,6.5981287,42358794.6741416,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
1,ABB.NS,ABB India Ltd,India,Electrical Equipment,2018,9.3716429,0.0000000,9.1155780,0.0007624,0.5543490,0.9925418,0.0491676,0.1349580,-2413743.5307648,0.1520226,0.1022210,0.1051416,-2.3613263,36542553.1914894,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2024,4.4650385,29.7240190,8.5013929,0.0060633,0.3989561,0.9866688,0.0065304,0.0154119,74359.2744295,0.1959840,0.2051131,0.2678233,11.3763656,47892381.5096548,4.0000000,37.5000000,TRUE,44.1868198,9.7904121,6.4842236,3.4308268,3.2018101
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2023,5.6412349,23.4222891,8.4153966,0.0020572,0.4262217,0.9842379,0.0155994,0.0155742,3206358.7282544,0.2932600,0.2623164,0.2783039,32.9922254,39375908.8182364,4.0000000,37.5000000,TRUE,42.5993648,7.5534650,9.1907549,3.4031412,2.5919495
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2022,6.8970081,23.4568577,8.2893890,0.0046559,0.4143621,0.9731211,0.0084371,0.0099321,1917916.2609542,0.1843385,0.2713705,0.3112076,22.4344019,21054418.2083739,4.0000000,37.5000000,TRUE,52.2676695,6.5524276,7.6093650,3.3705960,5.8971419
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2021,8.0532010,0.0000000,8.2277621,0.0241914,0.3984880,0.9673092,0.0024925,0.0034703,-3578735.0430954,0.1034199,0.2744622,0.3599292,27.9565957,13833473.4273676,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,9.6895925,3.3501731,8.3549077
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2020,9.4787667,0.0000000,8.1592327,0.0670691,0.4677097,0.9277364,0.0000000,0.0311641,4033115.9331118,0.0645444,0.2521096,0.4062106,9.3208675,10909977.1661403,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-5.7777247,3.2803604,4.8148579
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2019,10.7906266,0.0000000,8.1023807,0.0868588,0.4860910,0.9071854,0.0025038,0.0023379,-671551.6440338,0.0102135,0.3154329,0.4386239,-20.9109399,6965141.4386789,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
2,ACEL.NS,Action Construction Equipment Ltd,India,Machinery,2018,10.1697799,0.0000000,8.1078939,0.0600322,0.4438117,0.8759651,0.0149468,0.0028929,250708.2971957,0.0404539,0.2677237,0.3785591,15.0032379,8098135.2992194,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2024,8.8965711,50.8674081,8.9527837,0.2392915,0.2006847,0.4448644,0.0468213,0.0198311,10165008.7770626,0.0476698,0.0150899,0.7138470,9.6789827,74825043.8853130,4.0000000,10.0000000,TRUE,64.8301993,36.7600423,6.4842236,3.4308268,3.2018101
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2023,10.0226375,52.1511505,8.8981024,0.2362383,0.2746584,0.6011908,0.0177630,0.0159287,15011397.7204559,0.0246758,0.0150443,0.7020583,1.4032020,77936412.7174565,4.0000000,27.2727273,TRUE,61.3492862,42.9299663,9.1907549,3.4031412,2.5919495
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2022,11.3229682,44.1922663,8.8370266,0.2519069,0.3885303,0.8110556,0.0054893,0.0000000,-2323515.0925024,0.0109179,0.0161125,0.6942678,35.7587684,64403602.7263875,6.0000000,22.2222222,TRUE,44.0631976,36.9792587,7.6093650,3.3705960,5.8971419
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2021,13.3879929,41.4901368,8.7647055,0.2344511,0.3316075,0.7324239,0.0212618,0.0000000,2753572.3978741,0.0094053,0.0173897,0.6501081,72.6916302,66488892.1679969,5.0000000,25.0000000,0.0000000,57.0486910,28.6622034,9.6895925,3.3501731,8.3549077
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2020,18.1935759,0.0000000,8.6415066,0.1651621,0.2522880,0.6364946,0.0126571,0.0000000,-10718241.1091513,0.0042676,0.0162347,0.6368131,-7.5778621,64529581.4703912,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,-5.7777247,3.2803604,4.8148579
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2019,24.1688124,0.0000000,8.5168215,0.1729461,0.2386969,0.5878919,0.0331929,0.0278639,-9375705.2022354,0.0395644,0.0166780,0.6085966,0.1076453,52782976.9158271,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,3.8714369,3.3099342,2.4055172
3,ADAG.NS,Adani Total Gas Ltd,India,Gas Utilities,2018,26.4137873,0.0000000,8.4733888,0.1914669,0.2390311,0.5198275,0.2773260,0.0111050,10114194.8540040,0.0536517,0.0213643,0.5546500,17.6662364,33060132.9864123,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,6.4538513,3.2936397,3.8842403
