Code,Company,Country,Has_Reports
ADAG.NS,Adani Total Gas Ltd,India,True
ADAI.NS,Adani Energy Solutions Ltd,India,True
ADEN.NS,Advanced Enzyme Technologies Ltd,India,True
ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,True
ADNA.NS,Adani Green Energy Ltd,India,True
AFFL.NS,Affle 3i Ltd,India,True
ALEM.NS,Alembic Pharmaceuticals Ltd,India,True
ALKE.NS,Alkem Laboratories Ltd,India,True
AMBE.NS,Amber Enterprises India Ltd,India,True
APLA.NS,APL Apollo Tubes Ltd,India,True
ARVF.NS,Arvind Fashions Ltd,India,True
AVNT.NS,Avanti Feeds Ltd,India,True
BARA.NS,Bharat Dynamics Ltd,India,True
BORO.NS,Borosil Renewables Ltd,India,True
BORS.NS,Borosil Ltd,India,True
BROF.NS,Brookfield India Real Estate Trust,India,True
CAPL.NS,Caplin Point Laboratories Ltd,India,True
CHAL.NS,Chalet Hotels Ltd,India,True
CMSN.NS,CMS Info Systems Ltd,India,True
COHA.NS,Cohance Lifesciences Ltd,India,True
COMU.NS,Computer Age Management Services Ltd,India,True
CRAF.NS,Craftsman Automation Ltd,India,True
CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,True
DELH.NS,Delhivery Ltd,India,True
DIBL.NS,Dilip Buildcon Ltd,India,True
DIXO.NS,Dixon Technologies (India) Ltd,India,True
DLPA.NS,Dr. Lal PathLabs Ltd,India,True
DPNT.NS,Deepak Nitrite Ltd,India,True
EASM.NS,Easy Trip Planners Ltd,India,True
ENDU.NS,Endurance Technologies Ltd,India,True
ERIS.NS,Eris Lifesciences Ltd,India,True
FINE.NS,Fineotex Chemical Ltd,India,True
FINO.NS,Fine Organic Industries Ltd,India,True
FLTX.NS,Filatex India Ltd,India,True
GALX.NS,Galaxy Surfactants Ltd,India,True
GEEN.NS,Greenlam Industries Ltd,India,True
GINF.NS,G R Infraprojects Ltd,India,True
GLAD.NS,Gland Pharma Ltd,India,True
GMMP.NS,GMM Pfaudler Ltd,India,True
GODE.NS,Godrej Agrovet Ltd,India,True
GREP.NS,Greenpanel Industries Ltd,India,True
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd,India,True
GUJL.NS,Gujarat Fluorochemicals Ltd,India,True
HAPL.NS,Hatsun Agro Product Ltd,India,True
HEAC.NS,Healthcare Global Enterprises Ltd,India,True
HEML.NS,Hemisphere Properties India Ltd,India,True
HERN.NS,Heranba Industries Ltd,India,True
HFDS.NS,Hindustan Foods Ltd,India,True
HGIN.NS,HG Infra Engineering Ltd,India,True
HIAE.NS,Hindustan Aeronautics Ltd,India,True
HIIL.NS,Hindware Home Innovation Ltd,India,True
HLEG.NS,HLE Glascoat Ltd,India,True
INDG.NS,Indigo Paints Ltd,India,True
INGL.NS,Interglobe Aviation Ltd,India,True
INMR.NS,Indiamart Intermesh Ltd,India,True
INUS.NS,Indus Towers Ltd,India,True
IRCN.NS,Ircon International Ltd,India,True
JINW.NS,Jindal Worldwide Ltd,India,True
JUBN.NS,Jubilant Ingrevia Ltd,India,True
JUST.NS,Just Dial Ltd,India,True
JUWL.NS,Jupiter Wagons Ltd,India,True
KIRO.NS,Kirloskar Oil Engines Ltd,India,True
KIRP.NS,Kirloskar Pneumatic Company Ltd,India,True
KPIE.NS,KPIT Technologies Ltd,India,True
LAUL.NS,Laurus Labs Ltd,India,True
LAXR.NS,Laxmi Organic Industries Ltd,India,True
LTEH.NS,L&T Technology Services Ltd,India,True
LTIM.NS,LTIMindtree Ltd,India,True
LUXI.NS,Lux Industries Ltd,India,True
MAII.NS,Max India Ltd,India,True
MAIT.NS,Maithan Alloys Ltd,India,True
MAXE.NS,Max Healthcare Institute Ltd,India,True
MAZG.NS,Mazagon Dock Shipbuilders Ltd,India,True
METP.NS,Metropolis Healthcare Ltd,India,True
MGAS.NS,Mahanagar Gas Ltd,India,True
MINC.NS,Minda Corporation Ltd,India,True
MINS.NS,Mindspace Business Parks REIT,India,True
MISR.NS,Mishra Dhatu Nigam Ltd,India,True
MOIL.NS,Moil Ltd,India,True
NARY.NS,Narayana Hrudayalaya Ltd,India,True
NAZA.NS,Nazara Technologies Ltd,India,True
NEOE.NS,Neogen Chemicals Ltd,India,True
NEWG.NS,Newgen Software Technologies Ltd,India,True
ONTE.NS,Orient Electric Ltd,India,True
PDSL.NS,PDS Ltd,India,True
PIIL.NS,PI Industries Ltd,India,True
PIVI.NS,Privi Speciality Chemicals Ltd,India,True
PLMD.NS,Poly Medicure Ltd,India,True
PSPP.NS,PSP Projects Ltd,India,True
QUEC.NS,Quess Corp Ltd,India,True
RAIT.NS,Railtel Corporation of India Ltd,India,True
RESR.NS,Restaurant Brands Asia Ltd,India,True
RLXO.NS,Relaxo Footwears Ltd,India,True
ROSB.NS,Rossari Biotech Ltd,India,True
ROUT.NS,Route Mobile Ltd,India,True
RSPO.NS,Responsive Industries Ltd,India,True
RUCL.NS,Rupa & Company Ltd,India,True
SAFA.NS,Safari Industries (India) Ltd,India,True
SEIN.NS,Schneider Electric Infrastructure Ltd,India,True
SEQU.NS,SeQuent Scientific Ltd,India,True
SHAD.NS,Sharda Motor Industries Ltd,India,True
SHCR.NS,Sharda Cropchem Ltd,India,True
SHEF.NS,Sheela Foam Ltd,India,True
SHYE.NS,Shyam Metalics and Energy Ltd,India,True
SISI.NS,SIS Ltd,India,True
SUMH.NS,Sumitomo Chemical India Ltd,India,True
SYMP.NS,Symphony Ltd,India,True
SYNN.NS,Syngene International Ltd,India,True
TABE.NS,Tasty Bite Eatables Ltd,India,True
TBEI.NS,Tube Investments of India Ltd,India,True
TCIE.NS,TCI Express Ltd,India,True
THYO.NS,Thyrocare Technologies Ltd,India,True
TIME.NS,Time Technoplast Ltd,India,True
TLSV.NS,TeamLease Services Ltd,India,True
TRVT.NS,Triveni Turbine Ltd,India,True
VARB.NS,Varun Beverages Ltd,India,True
VMAR.NS,V-mart Retail Ltd,India,True
VRLL.NS,VRL Logistics Ltd,India,True
VST.NS,VST Tillers Tractors Ltd,India,True
WEST.NS,Westlife Foodworld Ltd,India,True
HCKC.KL,HCK Capital Group Bhd,Malaysia,True
HTHB.KL,Hartalega Holdings Bhd,Malaysia,True
OVER.KL,Oversea Enterprise Bhd,Malaysia,True
TAFI.KL,TAFI Industries Bhd,Malaysia,True
TASC.KL,TASCO Bhd,Malaysia,True
UZMA.KL,Uzma Bhd,Malaysia,True
VSTE.KL,VSTECS Bhd,Malaysia,True
AC.PS,Ayala Corp,Philippines,True
ACEN.PS,Acen Corp,Philippines,True
AP.PS,Aboitiz Power Corp,Philippines,True
DMC.PS,DMCI Holdings Inc,Philippines,True
LTG.PS,LT Group Inc,Philippines,True
SM.PS,SM Investments Corp,Philippines,True
-0426_ADvTECH_AIR2021,Unknown Company (-0426_ADvTECH_AIR2021),Unknown,True
-ACEN-Integrated-Report_0507,Unknown Company (-ACEN-Integrated-Report_0507),Unknown,True
ADvTECH_2023_Integrated_Report-51383fe3,Unknown Company (ADvTECH_2023_Integrated_Report-51383fe3),Unknown,True
ADvTECH_Annual_ingegrated_report_2019_July,Unknown Company (ADvTECH_Annual_ingegrated_report_2019_July),Unknown,True
ADvTECH_Annual_integrated_report_2024-f5991fd3,Unknown Company (ADvTECH_Annual_integrated_report_2024-f5991fd3),Unknown,True
ADvTECH_IR_2022Static,Unknown Company (ADvTECH_IR_2022Static),Unknown,True
AECI Ltd,Unknown Company (AECI Ltd),Unknown,True
Aboitiz,Unknown Company (Aboitiz),Unknown,True
Aboitiz Power Corp,Unknown Company (Aboitiz Power Corp),Unknown,True
Adcock Ingram Holdings Ltd,Unknown Company (Adcock Ingram Holdings Ltd),Unknown,True
Altron Ltd,Unknown Company (Altron Ltd),Unknown,True
Ancom Logistics Bhd,Unknown Company (Ancom Logistics Bhd),Unknown,True
Annual Report 2019,Unknown Company (Annual Report 2019),Unknown,True
Astral Foods Ltd,Unknown Company (Astral Foods Ltd),Unknown,True
Attacq Ltd,Unknown Company (Attacq Ltd),Unknown,True
Aveng Ltd,Unknown Company (Aveng Ltd),Unknown,True
Avi Ltd,Unknown Company (Avi Ltd),Unknown,True
Axiata Group Bhd,Unknown Company (Axiata Group Bhd),Unknown,True
Barloworld Ltd,Unknown Company (Barloworld Ltd),Unknown,True
Bell Equipment Ltd,Unknown Company (Bell Equipment Ltd),Unknown,True
Bid Corporation Ltd,Unknown Company (Bid Corporation Ltd),Unknown,True
Bidvest Group Ltd,Unknown Company (Bidvest Group Ltd),Unknown,True
Bloomberry Resorts Corp,Unknown Company (Bloomberry Resorts Corp),Unknown,True
Blu Label Unlimited Group Ltd,Unknown Company (Blu Label Unlimited Group Ltd),Unknown,True
Brimstone Investment Corporation Ltd,Unknown Company (Brimstone Investment Corporation Ltd),Unknown,True
Burstone Group Ltd,Unknown Company (Burstone Group Ltd),Unknown,True
CA Sales Holdings Ltd,Unknown Company (CA Sales Holdings Ltd),Unknown,True
CSC Steel Holdings Bhd,Unknown Company (CSC Steel Holdings Bhd),Unknown,True
Cashbuild Ltd,Unknown Company (Cashbuild Ltd),Unknown,True
Citaglobal Bhd,Unknown Company (Citaglobal Bhd),Unknown,True
City Lodge Hotels Ltd,Unknown Company (City Lodge Hotels Ltd),Unknown,True
Clicks Group Ltd,Unknown Company (Clicks Group Ltd),Unknown,True
