Code,Company,Country,,,
PDR.HM,Phat Dat Real Estate Development Corp,Vietnam,,,
MWG.HM,Mobile World Investment Corp,Vietnam,,,
HVN.HM,Vietnam Airlines JSC,Vietnam,,,
BCG.HM,Bamboo Capital Group JSC,Vietnam,,,
GEX.HM,Gelex Group JSC,Vietnam,,,
SAB.HM,Saigon Beer Alcohol Beverage Corp,Vietnam,,,
NVL.HM,No Va Land Investment Group Corp,Vietnam,,,
DXS.HM,Dat Xanh Real Estate Services JSC,Vietnam,,,
VHM.HM,Vinhomes JSC,Vietnam,,,
FRT.HM,FPT Digital Retail JSC,Vietnam,,,
VNM.HM,Vietnam Dairy Products JSC,Vietnam,,,
FPT.HM,FPT Corp,Vietnam,,,
HBC.HNO,Hoa Binh Construction Group JSC,Vietnam,,,
VIC.HM,Vingroup JSC,Vietnam,,,
HPG.HM,Hoa Phat Group JSC,Vietnam,,,
KBC.HM,Kinhbac City Development Holding Corp,Vietnam,,,
VCG.HM,Viet Nam Construction and Import Export Joint Stock Corp,Vietnam,,,
HAG.HM,Hoang Anh Gia Lai JSC,Vietnam,,,
DIG.HM,Development Investment Construction JSC,Vietnam,,,
MSN.HM,Masan Group Corp,Vietnam,,,
DXG.HM,Dat Xanh Group JSC,Vietnam,,,
CTD.HM,Coteccons Construction JSC,Vietnam,,,
KDH.HM,Khang Dien House Trading and Investment JSC,Vietnam,,,
SJVN.NS,SJVN Ltd,India,,,
BACO.NS,Bajaj Consumer Care Ltd,India,,,
GPPL.NS,Gujarat Pipavav Port Ltd,India,,,
COAL.NS,Coal India Ltd,India,,,
VATE.NS,Va Tech Wabag Ltd,India,,,
ABDL.NS,Ashoka Buildcon Ltd,India,,,
DPNT.NS,Deepak Nitrite Ltd,India,,,
JUWL.NS,Jupiter Wagons Ltd,India,,,
OEBO.NS,Oberoi Realty Ltd,India,,,
PREG.NS,Prestige Estates Projects Ltd,India,,,
RSPO.NS,Responsive Industries Ltd,India,,,
MOIL.NS,Moil Ltd,India,,,
JINW.NS,Jindal Worldwide Ltd,India,,,
JMNA.NS,Jamna Auto Industries Ltd,India,,,
KIRP.NS,Kirloskar Pneumatic Company Ltd,India,,,
KIRO.NS,Kirloskar Oil Engines Ltd,India,,,
FINE.NS,Fineotex Chemical Ltd,India,,,
GALX.NS,Galaxy Surfactants Ltd,India,,,
SYMP.NS,Symphony Ltd,India,,,
PIIL.NS,PI Industries Ltd,India,,,
RLXO.NS,Relaxo Footwears Ltd,India,,,
VST.NS,VST Tillers Tractors Ltd,India,,,
DHNP.NS,Dhanuka Agritech Ltd,India,,,
MAIT.NS,Maithan Alloys Ltd,India,,,
FLTX.NS,Filatex India Ltd,India,,,
ALEM.NS,Alembic Pharmaceuticals Ltd,India,,,
TRVT.NS,Triveni Turbine Ltd,India,,,
PLMD.NS,Poly Medicure Ltd,India,,,
RUCL.NS,Rupa & Company Ltd,India,,,
APLA.NS,APL Apollo Tubes Ltd,India,,,
MINC.NS,Minda Corporation Ltd,India,,,
RHIM.NS,RHI Magnesita India Ltd,India,,,
SEIN.NS,Schneider Electric Infrastructure Ltd,India,,,
NBCC.NS,NBCC (India) Ltd,India,,,
SWAN.NS,Swan Corp Ltd,India,,,
RTNI.NS,Rattanindia Enterprises Ltd,India,,,
INUS.NS,Indus Towers Ltd,India,,,
PCJE.NS,PC Jeweller Ltd,India,,,
VMAR.NS,V-mart Retail Ltd,India,,,
JUST.NS,Just Dial Ltd,India,,,
ORCE.NS,Orient Cement Ltd,India,,,
ADIA.NS,Aditya Birla Fashion and Retail Ltd,India,,,
INWN.NS,Inox Wind Ltd,India,,,
ADEN.NS,Advanced Enzyme Technologies Ltd,India,,,
HIAE.NS,Hindustan Aeronautics Ltd,India,,,
SHCR.NS,Sharda Cropchem Ltd,India,,,
BUTT.NS,Butterfly Gandhimathi Appliances Ltd,India,,,
CAPL.NS,Caplin Point Laboratories Ltd,India,,,
HAPL.NS,Hatsun Agro Product Ltd,India,,,
PDSL.NS,PDS Ltd,India,,,
INEE.NS,Intellect Design Arena Ltd,India,,,
VRLL.NS,VRL Logistics Ltd,India,,,
SYNN.NS,Syngene International Ltd,India,,,
MOLT.NS,Mold-Tek Packaging Ltd,India,,,
GEEN.NS,Greenlam Industries Ltd,India,,,
THYO.NS,Thyrocare Technologies Ltd,India,,,
AVNT.NS,Avanti Feeds Ltd,India,,,
PIVI.NS,Privi Speciality Chemicals Ltd,India,,,
BRIH.NS,Brightcom Group Ltd,India,,,
PNCI.NS,PNC Infratech Ltd,India,,,
ADAI.NS,Adani Energy Solutions Ltd,India,,,
INGL.NS,Interglobe Aviation Ltd,India,,,
SHAD.NS,Sharda Motor Industries Ltd,India,,,
DIBL.NS,Dilip Buildcon Ltd,India,,,
TLSV.NS,TeamLease Services Ltd,India,,,
DLPA.NS,Dr. Lal PathLabs Ltd,India,,,
QUEC.NS,Quess Corp Ltd,India,,,
GINF.NS,G R Infraprojects Ltd,India,,,
NARY.NS,Narayana Hrudayalaya Ltd,India,,,
LUXI.NS,Lux Industries Ltd,India,,,
ALKE.NS,Alkem Laboratories Ltd,India,,,
ENDU.NS,Endurance Technologies Ltd,India,,,
HEAC.NS,Healthcare Global Enterprises Ltd,India,,,
MGAS.NS,Mahanagar Gas Ltd,India,,,
SEQU.NS,SeQuent Scientific Ltd,India,,,
CROP.NS,Crompton Greaves Consumer Electricals Ltd,India,,,
LAUL.NS,Laurus Labs Ltd,India,,,
BLSN.NS,Bls International Services Ltd,India,,,
VARB.NS,Varun Beverages Ltd,India,,,
LTEH.NS,L&T Technology Services Ltd,India,,,
SHEF.NS,Sheela Foam Ltd,India,,,
COCH.NS,Cochin Shipyard Ltd,India,,,
LTIM.NS,LTIMindtree Ltd,India,,,
FRTL.NS,Future Retail Ltd,India,,,
AVEU.NS,Avenue Supermarts Ltd,India,,,
KIOC.NS,KIOCL Ltd,India,,,
LODH.NS,Lodha Developers Ltd,India,,,
TCIE.NS,TCI Express Ltd,India,,,
ITDC.NS,India Tourism Development Corp Ltd,India,,,
ERIS.NS,Eris Lifesciences Ltd,India,,,
GODE.NS,Godrej Agrovet Ltd,India,,,
TABE.NS,Tasty Bite Eatables Ltd,India,,,
EMBA.NS,Embassy Office Parks REIT,India,,,
TEJS.NS,Tejas Networks Ltd,India,,,
DLLA.NS,Dollar Industries Ltd,India,,,
MISR.NS,Mishra Dhatu Nigam Ltd,India,,,
BARA.NS,Bharat Dynamics Ltd,India,,,
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd,India,,,
RITS.NS,RITES Ltd,India,,,
PSPP.NS,PSP Projects Ltd,India,,,
DIXO.NS,Dixon Technologies (India) Ltd,India,,,
STAT.NS,Star Cement Ltd,India,,,
MALO.NS,Mahindra Logistics Ltd,India,,,
SISI.NS,SIS Ltd,India,,,
CMSN.NS,CMS Info Systems Ltd,India,,,
OPTI.NS,Optiemus Infracom Ltd,India,,,
AMBE.NS,Amber Enterprises India Ltd,India,,,
TBEI.NS,Tube Investments of India Ltd,India,,,
DODL.NS,Dodla Dairy Ltd,India,,,
VARE.NS,Varroc Engineering Ltd,India,,,
NEWG.NS,Newgen Software Technologies Ltd,India,,,
ROUT.NS,Route Mobile Ltd,India,,,
NAZA.NS,Nazara Technologies Ltd,India,,,
HGIN.NS,HG Infra Engineering Ltd,India,,,
GMMP.NS,GMM Pfaudler Ltd,India,,,
LEMO.NS,Lemon Tree Hotels Ltd,India,,,
PRCE.NS,Prince Pipes and Fittings Ltd,India,,,
RAIV.NS,Rail Vikas Nigam Ltd,India,,,
KALN.NS,Kalyan Jewellers India Ltd,India,,,
ADNA.NS,Adani Green Energy Ltd,India,,,
ONTE.NS,Orient Electric Ltd,India,,,
BORO.NS,Borosil Renewables Ltd,India,,,
FINO.NS,Fine Organic Industries Ltd,India,,,
CHAL.NS,Chalet Hotels Ltd,India,,,
ACUA.NS,Acutaas Chemicals Ltd,India,,,
AFFL.NS,Affle 3i Ltd,India,,,
IRCN.NS,Ircon International Ltd,India,,,
GLAD.NS,Gland Pharma Ltd,India,,,
METP.NS,Metropolis Healthcare Ltd,India,,,
HERN.NS,Heranba Industries Ltd,India,,,
ADAG.NS,Adani Total Gas Ltd,India,,,
NEOE.NS,Neogen Chemicals Ltd,India,,,
SASE.NS,Sansera Engineering Ltd,India,,,
STEN.NS,Sterling and Wilson Renewable Energy Ltd,India,,,
RAIT.NS,Railtel Corporation of India Ltd,India,,,
ARVF.NS,Arvind Fashions Ltd,India,,,
ENEY.BO,Energy Infrastructure Trust,India,,,
POLC.NS,Polycab India Ltd,India,,,
KPIE.NS,KPIT Technologies Ltd,India,,,
DALB.NS,Dalmia Bharat Ltd,India,,,
INDG.NS,Indigo Paints Ltd,India,,,
INMR.NS,Indiamart Intermesh Ltd,India,,,
WEST.NS,Westlife Foodworld Ltd,India,,,
HFDS.NS,Hindustan Foods Ltd,India,,,
INIR.NS,Indian Railway Catering and Tourism Corporation Ltd,India,,,
SAFA.NS,Safari Industries (India) Ltd,India,,,
MAZG.NS,Mazagon Dock Shipbuilders Ltd,India,,,
GUJL.NS,Gujarat Fluorochemicals Ltd,India,,,
GREP.NS,Greenpanel Industries Ltd,India,,,
SHYE.NS,Shyam Metalics and Energy Ltd,India,,,
HIIL.NS,Hindware Home Innovation Ltd,India,,,
EASM.NS,Easy Trip Planners Ltd,India,,,
MINS.NS,Mindspace Business Parks REIT,India,,,
SUMH.NS,Sumitomo Chemical India Ltd,India,,,
BARQ.NS,Barbeque-Nation Hospitality Ltd,India,,,
COHA.NS,Cohance Lifesciences Ltd,India,,,
HITN.NS,Hitachi Energy India Ltd,India,,,
RAJR.NS,Rajratan Global Wire Ltd,India,,,
HAPP.NS,Happiest Minds Technologies Ltd,India,,,
BORS.NS,Borosil Ltd,India,,,
ROSB.NS,Rossari Biotech Ltd,India,,,
MAXE.NS,Max Healthcare Institute Ltd,India,,,
MAII.NS,Max India Ltd,India,,,
COMU.NS,Computer Age Management Services Ltd,India,,,
HEML.NS,Hemisphere Properties India Ltd,India,,,
RESR.NS,Restaurant Brands Asia Ltd,India,,,
CRAF.NS,Craftsman Automation Ltd,India,,,
DELH.NS,Delhivery Ltd,India,,,
BROF.NS,Brookfield India Real Estate Trust,India,,,
HLEG.NS,HLE Glascoat Ltd,India,,,
BESA.NS,Best Agrolife Ltd,India,,,
LAXR.NS,Laxmi Organic Industries Ltd,India,,,
PRAF.NS,Paras Defence and Space Technologies Ltd,India,,,
JUBN.NS,Jubilant Ingrevia Ltd,India,,,
ANUY.NS,Anupam Rasayan India Ltd,India,,,
ALIV.NS,Alivus Life Sciences Ltd,India,,,
POWG.NS,Powergrid Infrastructure Investment Trust,India,,,
ETEA.NS,Eternal Ltd,India,,,
ISGE.NS,Isgec Heavy Engineering Ltd,India,,,
AWLA.NS,AWL Agri Business Ltd,India,,,
KRII.NS,Krishna Institute of Medical Sciences Ltd,India,,,
SONB.NS,Sona BLW Precision Forgings Ltd,India,,,
IDIP.NS,India Pesticides Ltd,India,,,
CLEA.NS,Clean Science and Technology Ltd,India,,,
TATV.NS,Tatva Chintan Pharma Chem Ltd,India,,,
ROLE.NS,Rolex Rings Ltd,India,,,
DEVY.NS,Devyani International Ltd,India,,,
NUVO.NS,Nuvoco Vistas Corporation Ltd,India,,,
SAPI.NS,Sapphire Foods India Ltd,India,,,
EPIG.NS,Epigral Ltd,India,,,
MEGI.NS,Meghmani Organics Ltd,India,,,
CART.NS,Cartrade Tech Ltd,India,,,
GOFA.NS,Go Fashion (India) Ltd,India,,,
RATE.NS,Rategain Travel Technologies Ltd,India,,,
CHPA.NS,Chemplast Sanmar Ltd,India,,,
VIJA.NS,Vijaya Diagnostic Centre Ltd,India,,,
SPRL.NS,Supriya Lifescience Ltd,India,,,
VEDN.NS,Vedant Fashions Ltd,India,,,
DATP.NS,Data Patterns (India) Ltd,India,,,
CEIF.NS,CE Info Systems Ltd,India,,,
FSNE.NS,Fsn E-Commerce Ventures Ltd,India,,,
LATN.NS,Latent View Analytics Ltd,India,,,
TARO.NS,Tarsons Products Ltd,India,,,
TEGA.NS,Tega Industries Ltd,India,,,
METB.NS,Metro Brands Ltd,India,,,
RAIB.NS,Rainbow Children's Medicare Ltd,India,,,
TVSS.NS,TVS Supply Chain Solutions Ltd,India,,,
IONX.NS,Ion Exchange (India) Ltd,India,,,
GRMO.NS,GRM Overseas Ltd,India,,,
TATE.NS,Tata Technologies Ltd,India,,,
ARTI.NS,Aarti Industries Ltd,India,,,
TMIN.NS,3M India Ltd,India,,,
ADRG.NS,Aarti Drugs Ltd,India,,,
AIAE.NS,AIA Engineering Ltd,India,,,
ADEL.NS,Adani Enterprises Ltd,India,,,
ALKY.NS,Alkyl Amines Chemicals Ltd,India,,,
AMAR.NS,Amara Raja Energy & Mobility Ltd,India,,,
ABUJ.NS,Ambuja Cements Ltd,India,,,
ALOK.NS,Alok Industries Ltd,India,,,
AJPH.NS,Ajanta Pharma Ltd,India,,,
APLH.NS,Apollo Hospitals Enterprise Ltd,India,,,
TRIE.NS,Trident Ltd,India,,,
ABB.NS,ABB India Ltd,India,,,
ACC.NS,ACC Ltd,India,,,
APLO.NS,Apollo Tyres Ltd,India,,,
APCI.NS,Apcotex Industries Ltd,India,,,
SNDO.NS,Sundrop Brands Ltd,India,,,
ASTR.NS,Astrazeneca Pharma India Ltd,India,,,
AEGS.NS,Aegis Logistics Ltd,India,,,
ACEL.NS,Action Construction Equipment Ltd,India,,,
AISG.NS,Asahi India Glass Ltd,India,,,
ASOK.NS,Ashok Leyland Ltd,India,,,
ACLL.NS,Allcargo Logistics Ltd,India,,,
APAR.NS,Apar Industries Ltd,India,,,
ASTL.NS,Astral Ltd,India,,,
ARVN.NS,Arvind Ltd,India,,,
ASPN.NS,Asian Paints Ltd,India,,,
ATLP.NS,Atul Ltd,India,,,
BANN.NS,Bannari Amman Sugars Ltd,India,,,
BJEL.NS,Bajaj Electricals Ltd,India,,,
BRLC.NS,Birla Corporation Ltd,India,,,
SANO.NS,Sanofi India Ltd,India,,,
BATA.NS,Bata India Ltd,India,,,
BFRG.NS,Bharat Forge Ltd,India,,,
ARBN.NS,Aurobindo Pharma Ltd,India,,,
BRSN.NS,Bharat Rasayan Ltd,India,,,
BAMN.NS,Balaji Amines Ltd,India,,,
BLKI.NS,Balkrishna Industries Ltd,India,,,
BEML.NS,BEML Ltd,India,,,
BRIG.NS,Brigade Enterprises Ltd,India,,,
BACH.NS,Balrampur Chini Mills Ltd,India,,,
BION.NS,Biocon Ltd,India,,,
BOSH.NS,Bosch Ltd,India,,,
BLDT.NS,Blue Dart Express Ltd,India,,,
BRTI.NS,Bharti Airtel Ltd,India,,,
BRGR.NS,Berger Paints India Ltd,India,,,
CERA.NS,Cera Sanitaryware Ltd,India,,,
CCLP.NS,CCL Products (India) Ltd,India,,,
BRIT.NS,Britannia Industries Ltd,India,,,
CAST.NS,Castrol India Ltd,India,,,
CNTP.NS,Century Plyboards (India) Ltd,India,,,
BPCL.NS,Bharat Petroleum Corporation Ltd,India,,,
CESC.NS,CESC Ltd,India,,,
CHPC.NS,Chennai Petroleum Corporation Ltd,India,,,
CRBR.NS,Carborundum Universal Ltd,India,,,
BASF.NS,BASF India Ltd,India,,,
BLUS.NS,Blue Star Ltd,India,,,
AITE.NS,Aditya Birla Real Estate Ltd,India,,,
BLAC.NS,Black Box Ltd,India,,,
LIND.NS,Linde India Ltd,India,,,
BAJE.NS,Bharat Electronics Ltd,India,,,
BHEL.NS,Bharat Heavy Electricals Ltd,India,,,
CHMB.NS,Chambal Fertilisers and Chemicals Ltd,India,,,
CEAT.NS,CEAT Ltd,India,,,
ZYDU.NS,Zydus Lifesciences Ltd,India,,,
CIPL.NS,Cipla Ltd,India,,,
DABU.NS,Dabur India Ltd,India,,,
CSFL.NS,Cosmo First Ltd,India,,,
LTOL.NS,LT Foods Ltd,India,,,
DSTV.NS,Dish TV India Ltd,India,,,
ERDY.NS,Eveready Industries India Ltd,India,,,
FINX.NS,Finolex Industries Ltd,India,,,
GDFR.NS,Godfrey Phillips India Ltd,India,,,
GRVL.NS,Greaves Cotton Ltd,India,,,
GODI.NS,Godrej Industries Ltd,India,,,
REDY.NS,Dr Reddy's Laboratories Ltd,India,,,
ELCN.NS,Elecon Engineering Company Ltd,India,,,
EICH.NS,Eicher Motors Ltd,India,,,
ESAB.NS,ESAB India Ltd,India,,,
GAME.NS,Gujarat Ambuja Exports Ltd,India,,,
HEGL.NS,HEG Ltd,India,,,
HROM.NS,Hero MotoCorp Ltd,India,,,
AKZO.NS,Akzo Nobel India Ltd,India,,,
DPFE.NS,Deepak Fertilisers and Petrochemicals Corp Ltd,India,,,
DLF.NS,DLF Ltd,India,,,
ENGI.NS,Engineers India Ltd,India,,,
EPLI.NS,EPL Ltd,India,,,
FNXC.NS,Finolex Cables Ltd,India,,,
ELST.NS,Electrosteel Castings Ltd,India,,,
FISO.NS,Firstsource Solutions Ltd,India,,,
GHCH.NS,GHCL Ltd,India,,,
HCLT.NS,HCL Technologies Ltd,India,,,
GESC.NS,Great Eastern Shipping Company Ltd,India,,,
INFY.NS,Infosys Ltd,India,,,
CGPO.NS,CG Power and Industrial Solutions Ltd,India,,,
COLG.NS,Colgate-Palmolive (India) Ltd,India,,,
DCMS.NS,DCM Shriram Ltd,India,,,
EXID.NS,Exide Industries Ltd,India,,,
FDC.NS,F D C Ltd,India,,,
HIMD.NS,Himadri Speciality Chemical Ltd,India,,,
HLL.NS,Hindustan Unilever Ltd,India,,,
HGSL.NS,Hinduja Global Solutions Ltd,India,,,
GILE.NS,Gillette India Ltd,India,,,
GRPH.NS,Graphite India Ltd,India,,,
CUMM.NS,Cummins India Ltd,India,,,
HVEL.NS,Havells India Ltd,India,,,
HALC.NS,Hindalco Industries Ltd,India,,,
HFCL.NS,HFCL Ltd,India,,,
BIRU.NS,BirlaNu Ltd,India,,,
CCRI.NS,Container Corporation of India Ltd,India,,,
ESCO.NS,Escorts Kubota Ltd,India,,,
IHTL.NS,Indian Hotels Company Ltd,India,,,
