folder_path,folder_name,company_name,company_code,similarity_score,status
Giang/USBL.NS,USBL.NS,Usha Martin Ltd,USBL.NS,1.0,matched
Thái/PBSB.KL,PBSB.KL,PBS Bhd,PBSB.KL,1.0,matched
Giang/INED.NS,INED.NS,Info Edge (India) Ltd,INED.NS,1.0,matched
Thái/FRAS.KL,FRAS.KL,Fraser & Neave Holdings Bhd,FRAS.KL,1.0,matched
Giang/HIKA.NS,HIKA.NS,Hikal Ltd,HIKA.NS,1.0,matched
Giang/RELI.NS,RELI.NS,Reliance Industries Ltd,RELI.NS,1.0,matched
Thái/PEPT.KL,PEPT.KL,PPB Group Bhd,PEPT.KL,1.0,matched
Vân/Murray & Roberts Holdings Ltd,Murray & Roberts Holdings Ltd,Murray & Roberts Holdings Ltd,MURJ.J,1.0000000000000002,matched
Giang/BRGR.NS,BRGR.NS,Berger Paints India Ltd,BRGR.NS,1.0,matched
Giang/ZYDU.NS,ZYDU.NS,Zydus Lifesciences Ltd,ZYDU.NS,1.0,matched
Vân/Genting Malaysia Bhd,Genting Malaysia Bhd,Genting Malaysia Bhd,GENM.KL,1.0000000000000002,matched
Dương/188.COMU.NS,188.COMU.NS,Computer Age Management Services Ltd,COMU.NS,1.0,matched
Thái/MLTO.KL,MLTO.KL,Malton Bhd,MLTO.KL,1.0,matched
Dương/156.NEOE.NS,156.NEOE.NS,Neogen Chemicals Ltd,NEOE.NS,1.0,matched
Thái/BESH.KL,BESH.KL,Beshom Holdings Bhd,BESH.KL,1.0,matched
Thái/GAMU.KL,GAMU.KL,Gamuda Bhd,GAMU.KL,1.0,matched
Dương/198.JUBN.NS,198.JUBN.NS,Jubilant Ingrevia Ltd,JUBN.NS,1.0,matched
Giang/BIRS.NS,BIRS.NS,Birlasoft Ltd,BIRS.NS,1.0,matched
Dương/139. GMMP,139. GMMP,GMM Pfaudler Ltd,GMMP.NS,1.0,matched
Dương/95. ALKE,95. ALKE,Alkem Laboratories Ltd,ALKE.NS,1.0,matched
Giang/CEAT.NS,CEAT.NS,CEAT Ltd,CEAT.NS,1.0,matched
Vân/Fast Energy Holdings Bhd,Fast Energy Holdings Bhd,Fast Energy Holdings Bhd,FAST.KL,1.0000000000000002,matched
Vân/Fortress Real Estate Investments Ltd,Fortress Real Estate Investments Ltd,Fortress Real Estate Investments Ltd,FFBJ.J,1.0000000000000002,matched
Dương/207 + IDIP.NS,207 + IDIP.NS,India Pesticides Ltd,IDIP.NS,1.0,matched
Thái/ABLE.KL,ABLE.KL,Able Global Bhd,ABLE.KL,1.0,matched
Giang/CIEA.NS,CIEA.NS,CIE Automotive India Ltd,CIEA.NS,1.0,matched
Vân/Sunway Real Estate Investment Trust,Sunway Real Estate Investment Trust,Sunway Real Estate Investment Trust,SUNW.KL,1.0000000000000002,matched
Giang/ASTL.NS,ASTL.NS,Astral Ltd,ASTL.NS,1.0,matched
Giang/JKIN.NS,JKIN.NS,JK Tyre & Industries Ltd,JKIN.NS,1.0,matched
Dương/152.GLAD.NS,152.GLAD.NS,Gland Pharma Ltd,GLAD.NS,1.0,matched
Giang/FINX.NS,FINX.NS,Finolex Industries Ltd,FINX.NS,1.0,matched
Giang/IOC.NS,IOC.NS,Indian Oil Corporation Ltd,IOC.NS,1.0,matched
Dương/190.RESR.NS,190.RESR.NS,Restaurant Brands Asia Ltd,RESR.NS,1.0,matched
Giang/GMDC.NS,GMDC.NS,Gujarat Mineral Development Corporation Ltd,GMDC.NS,1.0,matched
Vân/Emira Property Fund Ltd,Emira Property Fund Ltd,Emira Property Fund Ltd,EMIJ.J,1.0000000000000002,matched
Giang/KIRI.NS,KIRI.NS,Kiri Industries Ltd,KIRI.NS,1.0,matched
Thái/EPMB.KL,EPMB.KL,EP Manufacturing Bhd,EPMB.KL,1.0,matched
Dương/94. LUXI,94. LUXI,Lux Industries Ltd,LUXI.NS,1.0,matched
Giang/HZNC.NS,HZNC.NS,Hindustan Zinc Ltd,HZNC.NS,1.0,matched
Vân/Robinsons Land Corp,Robinsons Land Corp,Robinsons Land Corp,RLC.PS,1.0000000000000002,matched
Vân/Ygl Convergence Bhd,Ygl Convergence Bhd,Ygl Convergence Bhd,YGLC.KL,1.0000000000000002,matched
Thái/JAKS.KL,JAKS.KL,JAKS Resources Bhd,JAKS.KL,1.0,matched
Giang/GOCP.NS,GOCP.NS,Godrej Consumer Products Ltd,GOCP.NS,1.0,matched
Giang/ARVN.NS,ARVN.NS,Arvind Ltd,ARVN.NS,1.0,matched
Giang/JKIP.NS,JKIP.NS,J Kumar Infraprojects Ltd,JKIP.NS,1.0,matched
Vân/Poh Kong Holding Bhd,Poh Kong Holding Bhd,Poh Kong Holdings Bhd,POHK.KL,0.28825378403927715,unmatched
Thái/KPSB.KL,KPSB.KL,Kumpulan Perangsang Selangor Bhd,KPSB.KL,1.0,matched
Vân/Gemfields Group Ltd,Gemfields Group Ltd,Gemfields Group Ltd,GMLJ.J,1.0000000000000002,matched
Thái/MUIB.KL,MUIB.KL,Malayan United Industries Bhd,MUIB.KL,1.0,matched
Thái/WCEH.KL,WCEH.KL,WCE Holdings Bhd,WCEH.KL,1.0,matched
Vân/ViTrox Corporation Bhd,ViTrox Corporation Bhd,ViTrox Corporation Bhd,VTRX.KL,1.0000000000000002,matched
Thái/PLSB.KL,PLSB.KL,PLS Plantations Bhd,PLSB.KL,1.0,matched
Thái/RENE.KL,RENE.KL,Reneuco Bhd,RENE.KL,1.0,matched
Thái/GOPK.KL,GOPK.KL,Gopeng Bhd,GOPK.KL,1.0,matched
Giang/VOTL.NS,VOTL.NS,Voltamp Transformers Ltd,VOTL.NS,1.0,matched
Vân/Signature International Bhd,Signature International Bhd,Signature International Bhd,SGNA.KL,1.0000000000000002,matched
Vân/Hulamin Ltd,Hulamin Ltd,Hulamin Ltd,HLMJ.J,1.0,matched
Vân/Tomei Consolidated Bhd,Tomei Consolidated Bhd,Tomei Consolidated Bhd,TMEI.KL,1.0000000000000002,matched
Thái/ZETR.KL,ZETR.KL,Zetrix AI Bhd,ZETR.KL,1.0,matched
Thái/ECOW.KL,ECOW.KL,Eco World Development Group Bhd,ECOW.KL,1.0,matched
Giang/VART.NS,VART.NS,Vardhman Textiles Ltd,VART.NS,1.0,matched
Thái/MFMS.KL,MFMS.KL,Malayan Flour Mills Bhd,MFMS.KL,1.0,matched
Giang/CGPO.NS,CGPO.NS,CG Power and Industrial Solutions Ltd,CGPO.NS,1.0,matched
Dương/10. VHM,10. VHM,Vinhomes JSC,VHM.HM,1.0,matched
Dương/31. DPNT,31. DPNT,Deepak Nitrite Ltd,DPNT.NS,1.0,matched
Dương/175.HIIL.NS,175.HIIL.NS,Hindware Home Innovation Ltd,HIIL.NS,1.0,matched
Vân/Famous Brands Ltd,Famous Brands Ltd,Famous Brands Ltd,FBRJ.J,1.0000000000000002,matched
Dương/52. PLMD,52. PLMD,Poly Medicure Ltd,PLMD.NS,1.0,matched
Dương/122. GRSE,122. GRSE,Garden Reach Shipbuilders & Engineers Ltd,GRSE.NS,1.0,matched
Vân/Globe Telecom Inc,Globe Telecom Inc,Globe Telecom Inc,GLO.PS,1.0000000000000002,matched
Dương/244 + AJPH.NS,244 + AJPH.NS,Ajanta Pharma Ltd,AJPH.NS,1.0,matched
Giang/LART.NS,LART.NS,Larsen and Toubro Ltd,LART.NS,1.0,matched
Thái/OMES.KL,OMES.KL,Omesti Bhd,OMES.KL,1.0,matched
Thái/PGFC.KL,PGFC.KL,PGF Capital Bhd,PGFC.KL,1.0,matched
Dương/82. PIVI,82. PIVI,Privi Speciality Chemicals Ltd,PIVI.NS,1.0,matched
Vân/Naspers Ltd,Naspers Ltd,Naspers Ltd,NPNJn.J,1.0,matched
Thái/RGBI.KL,RGBI.KL,RGB International Bhd,RGBI.KL,1.0,matched
Vân/Bid Corporation Ltd,Bid Corporation Ltd,Bid Corporation Ltd,BIDJ.J,1.0000000000000002,matched
Thái/LAYH.KL,LAYH.KL,Lay Hong Bhd,LAYH.KL,1.0,matched
Dương/66. ADIA,66. ADIA,Aditya Birla Fashion and Retail Ltd,ADIA.NS,1.0,matched
Dương/105. SHEF,105. SHEF,Sheela Foam Ltd,SHEF.NS,1.0,matched
Thái/LBSB.KL,LBSB.KL,Lbs Bina Group Bhd,LBSB.KL,1.0,matched
Giang/CIPL.NS,CIPL.NS,Cipla Ltd,CIPL.NS,1.0,matched
Thái/NTPM.KL,NTPM.KL,NTPM Holdings Bhd,NTPM.KL,1.0,matched
Vân/DMCI Holdings Inc,DMCI Holdings Inc,DMCI Holdings Inc,DMC.PS,1.0000000000000002,matched
Giang/NKML.NS,NKML.NS,Nilkamal Ltd,NKML.NS,1.0,matched
Dương/232 + GRMO.NS,232 + GRMO.NS,GRM Overseas Ltd,GRMO.NS,1.0,matched
Vân/Emperador Inc,Emperador Inc,Emperador Inc,EMI.PS,1.0,matched
Giang/HLL.NS,HLL.NS,Hindustan Unilever Ltd,HLL.NS,1.0,matched
Dương/194.HLEG.NS,194.HLEG.NS,HLE Glascoat Ltd,HLEG.NS,1.0,matched
Vân/Scientex Bhd,Scientex Bhd,Scientex Bhd,STIK.KL,1.0000000000000002,matched
Vân/Grindrod Ltd,Grindrod Ltd,Grindrod Ltd,GNDJ.J,1.0,matched
Vân/MultiChoice Group Ltd,MultiChoice Group Ltd,MultiChoice Group Ltd,MCGJ.J,1.0000000000000002,matched
Giang/APLO.NS,APLO.NS,Apollo Tyres Ltd,APLO.NS,1.0,matched
